ArrivalDate_Weekday;BookingDate_Weekday;adult_qty;Leaddays
SUNDAY   ;FRIDAY   ;2;2
SATURDAY ;MONDAY   ;1;5
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;THURSDAY ;1;10
SATURDAY ;SATURDAY ;1;0
SATURDAY ;TUESDAY  ;2;4
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;2;7
SATURDAY ;FRIDAY   ;2;1
SATURDAY ;FRIDAY   ;2;1
SUNDAY   ;FRIDAY   ;2;2
SUNDAY   ;FRIDAY   ;2;2
SATURDAY ;WEDNESDAY;2;59
SUNDAY   ;TUESDAY  ;1;26
SATURDAY ;THURSDAY ;1;9
SATURDAY ;FRIDAY   ;1;1
SATURDAY ;FRIDAY   ;2;1
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;2;0
SATURDAY ;THURSDAY ;2;2
SATURDAY ;SATURDAY ;2;0
SATURDAY ;FRIDAY   ;1;22
SATURDAY ;WEDNESDAY;2;3
SATURDAY ;WEDNESDAY;1;3
SATURDAY ;SATURDAY ;2;0
SUNDAY   ;FRIDAY   ;1;79
SATURDAY ;FRIDAY   ;1;1
SATURDAY ;FRIDAY   ;1;1
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;THURSDAY ;1;24
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SUNDAY   ;1;6
SATURDAY ;THURSDAY ;2;2
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;7
SUNDAY   ;SATURDAY ;1;1
SATURDAY ;TUESDAY  ;1;4
SATURDAY ;MONDAY   ;2;5
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;THURSDAY ;2;3
SATURDAY ;TUESDAY  ;2;18
SATURDAY ;WEDNESDAY;3;80
SATURDAY ;SUNDAY   ;1;-1
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;THURSDAY ;1;31
SATURDAY ;THURSDAY ;1;2
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;FRIDAY   ;1;1
SATURDAY ;SATURDAY ;1;0
SATURDAY ;TUESDAY  ;1;4
SATURDAY ;SATURDAY ;1;0
SATURDAY ;TUESDAY  ;2;4
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;FRIDAY   ;1;1
SATURDAY ;SUNDAY   ;1;6
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;7
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;THURSDAY ;3;23
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;2;0
SUNDAY   ;FRIDAY   ;1;79
SUNDAY   ;SATURDAY ;1;8
SUNDAY   ;SATURDAY ;2;1
SUNDAY   ;FRIDAY   ;2;2
SUNDAY   ;SATURDAY ;1;8
SATURDAY ;WEDNESDAY;2;3
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SUNDAY   ;1;6
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;WEDNESDAY;1;3
SATURDAY ;TUESDAY  ;2;4
SATURDAY ;FRIDAY   ;2;1
SATURDAY ;SUNDAY   ;2;13
SATURDAY ;WEDNESDAY;2;17
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;THURSDAY ;1;3
SATURDAY ;SATURDAY ;1;0
SATURDAY ;TUESDAY  ;1;4
SATURDAY ;MONDAY   ;2;5
SATURDAY ;FRIDAY   ;2;1
SUNDAY   ;SATURDAY ;1;1
SATURDAY ;TUESDAY  ;1;11
SUNDAY   ;SUNDAY   ;2;0
SUNDAY   ;FRIDAY   ;2;2
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;FRIDAY   ;1;1
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SATURDAY ;3;1
SATURDAY ;WEDNESDAY;2;17
SATURDAY ;SATURDAY ;2;0
SATURDAY ;WEDNESDAY;2;3
SUNDAY   ;FRIDAY   ;2;2
SUNDAY   ;FRIDAY   ;2;2
SATURDAY ;SATURDAY ;1;0
SATURDAY ;FRIDAY   ;2;1
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;TUESDAY  ;2;5
SATURDAY ;TUESDAY  ;2;4
SATURDAY ;SUNDAY   ;2;13
SUNDAY   ;SUNDAY   ;2;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;TUESDAY  ;1;4
SUNDAY   ;THURSDAY ;1;3
SATURDAY ;SATURDAY ;1;0
SATURDAY ;THURSDAY ;1;2
SATURDAY ;SATURDAY ;1;0
SATURDAY ;THURSDAY ;1;2
SUNDAY   ;FRIDAY   ;1;2
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;2;0
SATURDAY ;WEDNESDAY;2;3
SUNDAY   ;FRIDAY   ;2;2
SATURDAY ;FRIDAY   ;1;1
SUNDAY   ;FRIDAY   ;1;2
SATURDAY ;FRIDAY   ;1;1
SUNDAY   ;FRIDAY   ;2;16
SUNDAY   ;FRIDAY   ;1;16
SATURDAY ;FRIDAY   ;1;22
SATURDAY ;THURSDAY ;1;9
SATURDAY ;FRIDAY   ;1;1
SUNDAY   ;SATURDAY ;1;8
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;7
SATURDAY ;TUESDAY  ;2;4
SUNDAY   ;MONDAY   ;1;6
SATURDAY ;TUESDAY  ;2;25
SATURDAY ;SATURDAY ;2;14
SUNDAY   ;FRIDAY   ;1;2
SUNDAY   ;FRIDAY   ;1;30
SUNDAY   ;WEDNESDAY;1;4
SATURDAY ;SATURDAY ;2;21
SUNDAY   ;FRIDAY   ;2;2
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;TUESDAY  ;1;4
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;FRIDAY   ;1;79
SATURDAY ;THURSDAY ;2;2
SATURDAY ;FRIDAY   ;2;1
SUNDAY   ;WEDNESDAY;1;18
SUNDAY   ;MONDAY   ;2;104
SUNDAY   ;FRIDAY   ;1;2
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;THURSDAY ;1;2
SUNDAY   ;SATURDAY ;1;1
SATURDAY ;FRIDAY   ;1;8
SATURDAY ;FRIDAY   ;1;1
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;WEDNESDAY;1;3
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;2;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;TUESDAY  ;2;25
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;WEDNESDAY;1;4
SUNDAY   ;FRIDAY   ;1;2
SUNDAY   ;FRIDAY   ;1;2
SUNDAY   ;FRIDAY   ;2;2
SUNDAY   ;FRIDAY   ;2;2
SUNDAY   ;FRIDAY   ;2;2
SATURDAY ;WEDNESDAY;1;3
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;FRIDAY   ;2;1
SATURDAY ;THURSDAY ;2;2
SATURDAY ;WEDNESDAY;2;3
SATURDAY ;SATURDAY ;2;0
SATURDAY ;SATURDAY ;2;0
SATURDAY ;MONDAY   ;2;5
SATURDAY ;SATURDAY ;2;70
SUNDAY   ;FRIDAY   ;2;9
SUNDAY   ;SUNDAY   ;2;0
SUNDAY   ;FRIDAY   ;1;79
SUNDAY   ;FRIDAY   ;2;2
SUNDAY   ;FRIDAY   ;2;2
SATURDAY ;WEDNESDAY;2;52
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SUNDAY   ;1;6
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SATURDAY ;2;1
SATURDAY ;FRIDAY   ;1;1
SATURDAY ;SATURDAY ;2;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;2;0
SATURDAY ;FRIDAY   ;2;1
SUNDAY   ;FRIDAY   ;2;2
SATURDAY ;SATURDAY ;2;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;FRIDAY   ;2;2
SATURDAY ;THURSDAY ;1;2
SUNDAY   ;SATURDAY ;1;1
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;FRIDAY   ;1;1
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;2;0
SATURDAY ;SATURDAY ;2;0
SUNDAY   ;SUNDAY   ;2;0
SATURDAY ;FRIDAY   ;1;1
SUNDAY   ;SATURDAY ;3;15
SATURDAY ;FRIDAY   ;2;1
SUNDAY   ;WEDNESDAY;1;4
SUNDAY   ;FRIDAY   ;2;2
SUNDAY   ;MONDAY   ;1;13
SATURDAY ;THURSDAY ;2;2
SATURDAY ;SUNDAY   ;2;6
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;FRIDAY   ;1;2
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SATURDAY ;2;1
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;FRIDAY   ;1;9
SUNDAY   ;FRIDAY   ;2;2
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;WEDNESDAY;2;3
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;2;0
SATURDAY ;WEDNESDAY;2;3
SUNDAY   ;FRIDAY   ;1;2
SUNDAY   ;FRIDAY   ;1;79
SUNDAY   ;THURSDAY ;2;3
SATURDAY ;FRIDAY   ;2;1
SATURDAY ;FRIDAY   ;2;1
SUNDAY   ;FRIDAY   ;2;2
