Adults,Children,LeadDays,LengthOfStay,ArrivalDate-WeekDay
1,0,64,5,Saturday
1,0,64,7,Saturday
5,0,30,1,Friday
1,0,1,4,Friday
1,0,81,1,Monday
6,0,32,3,Sunday
5,2,42,3,Sunday
4,0,0,4,Friday
4,1,1,7,Monday
1,0,52,3,Tuesday
5,0,67,2,Saturday
6,2,17,8,Tuesday
1,0,0,4,Saturday
4,1,1,1,Tuesday
4,1,1,1,Monday
6,2,45,1,Friday
3,0,28,4,Sunday
4,0,60,1,Saturday
6,2,66,1,Saturday
1,0,19,1,Tuesday
1,0,73,3,Friday
2,1,87,6,Saturday
4,1,82,3,Saturday
1,1,5,9,Thursday
5,0,3,2,Saturday
6,0,2,7,Saturday
6,1,3,2,Sunday
4,0,55,4,Wednesday
1,0,36,1,Friday
3,2,8,2,Thursday
1,0,35,7,Sunday
4,0,46,2,Thursday
5,1,93,1,Saturday
6,0,51,4,Friday
1,2,80,8,Saturday
1,1,3,1,Sunday
2,1,35,3,Saturday
3,1,16,6,Monday
2,0,1,2,Saturday
6,0,94,2,Friday
1,1,14,1,Saturday
3,2,26,5,Tuesday
2,0,65,1,Tuesday
2,0,0,7,Sunday
1,2,53,3,Tuesday
1,0,93,2,Friday
3,0,10,1,Friday
1,1,61,2,Tuesday
3,2,59,2,Saturday
1,0,39,4,Saturday
1,0,17,7,Saturday
1,0,83,9,Monday
4,0,49,1,Thursday
2,2,26,1,Friday
3,2,1,1,Friday
2,0,16,2,Friday
1,0,22,8,Saturday
5,0,0,1,Thursday
2,2,36,8,Saturday
4,0,0,4,Monday
2,0,24,1,Tuesday
1,1,0,5,Tuesday
3,1,12,1,Sunday
4,1,21,2,Saturday
4,0,79,7,Wednesday
1,0,91,5,Friday
2,0,18,1,Friday
4,1,49,5,Tuesday
3,2,73,2,Tuesday
4,0,2,3,Friday
2,0,94,8,Saturday
5,1,31,3,Sunday
1,2,79,3,Thursday
3,0,6,7,Friday
5,1,28,1,Monday
1,0,4,5,Wednesday
2,1,13,2,Thursday
4,0,0,4,Friday
2,0,97,5,Friday
1,0,1,8,Friday
1,1,67,5,Friday
1,0,2,5,Thursday
6,0,83,1,Thursday
2,0,2,3,Tuesday
5,0,1,1,Saturday
3,2,52,1,Monday
6,0,13,1,Friday
2,0,12,7,Tuesday
6,1,30,1,Tuesday
6,0,25,2,Friday
6,1,87,1,Friday
1,2,5,5,Wednesday
1,0,1,4,Tuesday
6,0,11,1,Friday
1,2,1,9,Saturday
1,0,90,8,Monday
1,1,0,9,Friday
3,1,3,8,Tuesday
1,1,20,1,Monday
2,0,0,1,Friday
4,0,5,1,Friday
2,0,90,5,Saturday
5,0,53,4,Sunday
4,1,83,3,Thursday
1,0,11,6,Wednesday
6,1,59,2,Friday
5,0,73,3,Saturday
1,0,1,7,Saturday
1,0,77,1,Saturday
6,0,75,6,Saturday
2,2,78,1,Tuesday
2,1,70,4,Thursday
2,0,53,7,Friday
6,0,46,5,Tuesday
1,0,85,7,Saturday
1,0,0,6,Thursday
6,1,71,5,Wednesday
3,0,10,7,Friday
2,0,86,2,Tuesday
1,0,29,4,Tuesday
1,0,81,5,Tuesday
4,0,3,2,Friday
2,0,0,6,Monday
1,0,1,2,Saturday
2,2,1,9,Tuesday
2,0,73,4,Saturday
6,0,41,6,Thursday
6,0,69,3,Friday
3,2,2,2,Friday
5,0,1,5,Monday
2,0,19,9,Saturday
2,0,18,4,Sunday
3,2,42,1,Sunday
5,0,15,8,Friday
6,2,11,2,Friday
6,0,1,7,Thursday
2,2,52,8,Friday
4,2,5,2,Saturday
3,1,34,5,Thursday
1,0,90,9,Tuesday
3,0,1,7,Saturday
6,1,30,3,Tuesday
5,2,27,1,Friday
2,0,11,1,Friday
2,0,52,4,Thursday
3,2,11,3,Friday
6,0,12,5,Sunday
1,1,1,8,Tuesday
4,0,77,7,Thursday
3,2,35,4,Sunday
2,1,1,2,Saturday
5,1,84,3,Sunday
2,2,20,7,Monday
4,0,0,7,Monday
6,0,14,1,Tuesday
5,2,28,9,Saturday
1,1,65,9,Thursday
1,0,1,3,Saturday
3,0,74,7,Saturday
6,0,54,9,Monday
4,0,89,2,Wednesday
2,0,14,1,Friday
1,0,0,6,Tuesday
2,2,2,4,Wednesday
3,0,24,2,Saturday
2,0,34,9,Saturday
1,2,70,7,Wednesday
2,1,78,3,Sunday
2,0,75,3,Tuesday
2,0,20,2,Monday
6,0,18,1,Friday
1,0,7,4,Friday
1,0,97,1,Wednesday
1,1,21,7,Saturday
6,1,22,8,Monday
1,0,33,2,Wednesday
3,2,43,6,Thursday
1,0,93,1,Friday
4,1,77,1,Monday
3,2,81,7,Wednesday
1,2,21,5,Saturday
4,1,3,6,Saturday
1,0,30,3,Friday
1,0,92,8,Saturday
2,2,71,7,Friday
1,2,1,1,Tuesday
1,0,71,8,Saturday
1,0,75,6,Saturday
6,1,2,8,Wednesday
1,1,48,1,Monday
5,1,87,4,Wednesday
1,0,8,4,Wednesday
3,1,46,1,Monday
2,2,12,3,Sunday
1,2,10,1,Friday
2,2,23,3,Saturday
2,0,86,9,Tuesday
2,0,95,4,Monday
1,2,96,4,Thursday
1,0,2,8,Saturday
3,0,63,1,Saturday
2,1,21,3,Friday
2,0,61,9,Tuesday
6,0,0,1,Tuesday
2,0,0,1,Friday
2,0,10,2,Tuesday
1,2,0,2,Thursday
5,1,39,1,Saturday
1,0,1,2,Saturday
6,1,45,6,Tuesday
2,0,24,2,Thursday
1,0,0,7,Wednesday
1,1,9,7,Friday
1,0,25,4,Friday
2,0,30,1,Friday
1,1,1,2,Saturday
5,0,39,2,Saturday
4,1,4,4,Saturday
5,0,2,1,Monday
5,0,66,2,Wednesday
6,1,25,3,Saturday
3,2,88,1,Sunday
1,0,1,7,Friday
3,2,64,5,Saturday
4,1,79,7,Tuesday
4,0,77,4,Saturday
5,0,23,3,Saturday
2,2,83,8,Monday
1,0,2,7,Thursday
2,0,93,5,Friday
1,2,32,7,Saturday
2,1,50,1,Saturday
6,0,1,7,Friday
6,0,21,7,Thursday
1,0,0,9,Monday
5,1,4,4,Thursday
2,1,19,1,Friday
6,1,57,6,Friday
4,1,2,1,Friday
2,2,9,9,Saturday
1,1,66,1,Monday
3,0,0,3,Saturday
2,0,26,2,Tuesday
5,0,24,8,Monday
1,0,34,1,Wednesday
1,0,38,2,Sunday
2,2,10,2,Saturday
6,1,93,1,Wednesday
3,1,41,6,Wednesday
3,1,16,3,Thursday
3,0,26,2,Thursday
2,0,3,3,Thursday
3,0,70,3,Saturday
3,0,84,6,Monday
2,1,46,5,Saturday
5,1,4,6,Saturday
1,0,75,1,Thursday
1,2,24,3,Saturday
6,1,75,1,Wednesday
1,0,52,3,Wednesday
1,1,1,8,Friday
4,1,0,1,Saturday
2,2,32,2,Saturday
4,2,20,3,Monday
5,0,1,6,Saturday
1,0,39,5,Tuesday
6,2,51,4,Saturday
6,0,48,9,Saturday
1,0,100,5,Wednesday
5,1,42,1,Saturday
6,2,31,3,Monday
2,1,54,2,Thursday
3,0,99,8,Saturday
2,0,4,4,Monday
2,0,18,3,Friday
1,2,28,6,Saturday
1,1,9,2,Thursday
1,2,46,2,Wednesday
5,0,59,1,Friday
3,0,89,7,Saturday
4,0,90,1,Friday
5,1,94,1,Sunday
4,0,88,2,Friday
1,0,24,5,Friday
1,2,1,6,Sunday
5,0,94,3,Tuesday
1,0,37,5,Tuesday
3,0,37,9,Thursday
1,0,1,6,Friday
3,1,33,1,Friday
4,0,9,1,Friday
5,1,0,2,Sunday
2,1,11,2,Saturday
4,0,39,4,Thursday
6,1,10,5,Thursday
3,2,77,3,Saturday
5,0,25,5,Sunday
1,0,4,7,Saturday
5,0,75,2,Sunday
2,0,12,6,Friday
1,1,84,8,Wednesday
1,0,11,4,Friday
2,0,38,2,Saturday
1,1,50,5,Friday
1,0,62,9,Saturday
1,2,2,6,Monday
5,0,28,3,Monday
2,0,50,3,Saturday
6,0,11,9,Friday
2,0,10,7,Tuesday
5,0,2,8,Saturday
5,0,2,4,Saturday
1,0,1,1,Wednesday
1,0,88,1,Thursday
4,0,44,5,Friday
4,0,0,9,Tuesday
5,1,0,8,Sunday
1,2,1,1,Thursday
1,0,0,6,Saturday
4,0,3,7,Saturday
3,0,41,1,Saturday
1,0,44,1,Saturday
2,0,25,2,Thursday
1,1,76,9,Wednesday
2,1,68,4,Friday
3,2,4,4,Friday
5,1,2,2,Tuesday
5,1,60,1,Friday
2,0,1,2,Friday
5,1,0,3,Saturday
4,0,0,5,Friday
1,1,4,7,Saturday
1,0,90,4,Monday
2,1,55,1,Saturday
2,0,12,7,Thursday
2,0,1,2,Sunday
2,0,2,1,Friday
2,0,2,4,Friday
2,0,0,1,Saturday
1,0,68,1,Saturday
1,2,8,8,Saturday
1,0,7,8,Friday
5,0,2,5,Saturday
6,0,1,2,Saturday
1,2,97,9,Saturday
2,0,77,7,Friday
5,2,60,5,Monday
3,0,55,7,Saturday
5,1,17,1,Thursday
3,0,2,3,Friday
2,0,38,4,Friday
3,0,51,8,Saturday
1,2,39,1,Friday
2,0,0,6,Friday
2,0,34,1,Saturday
5,0,47,9,Monday
1,0,0,5,Wednesday
6,0,58,6,Tuesday
1,1,9,5,Sunday
1,0,47,8,Saturday
2,0,68,1,Friday
3,2,55,7,Friday
6,0,60,9,Friday
1,0,50,2,Saturday
5,2,37,6,Wednesday
5,0,26,1,Saturday
1,1,90,4,Friday
3,0,1,6,Saturday
4,0,10,4,Thursday
1,0,12,1,Friday
6,1,0,2,Wednesday
3,0,61,1,Monday
3,2,24,1,Friday
4,0,94,1,Monday
3,2,96,1,Friday
5,0,40,2,Wednesday
6,1,1,1,Saturday
5,0,23,5,Saturday
2,0,13,1,Tuesday
6,0,60,3,Friday
6,0,96,1,Wednesday
1,0,42,3,Sunday
6,1,4,3,Friday
2,2,43,7,Saturday
4,1,14,4,Friday
1,0,63,1,Friday
5,0,12,1,Thursday
3,1,89,2,Thursday
6,1,25,4,Friday
6,2,41,2,Friday
3,2,3,5,Saturday
3,0,96,2,Thursday
6,1,0,1,Thursday
5,1,92,6,Saturday
2,0,9,8,Tuesday
6,2,0,3,Saturday
3,0,53,1,Thursday
3,1,1,2,Friday
2,1,82,8,Thursday
6,2,46,5,Sunday
2,2,72,5,Tuesday
2,1,66,3,Wednesday
1,0,51,3,Monday
4,0,68,5,Sunday
2,1,53,1,Friday
1,0,79,4,Friday
2,0,59,2,Thursday
3,1,41,1,Sunday
1,0,0,1,Thursday
4,1,44,2,Friday
4,2,88,4,Friday
6,0,70,4,Friday
2,0,44,3,Tuesday
1,1,82,3,Friday
2,0,95,1,Sunday
2,0,67,5,Wednesday
2,0,0,8,Friday
1,1,17,2,Friday
1,2,0,5,Saturday
1,0,72,7,Monday
2,2,67,2,Wednesday
1,0,62,6,Sunday
2,0,31,9,Thursday
1,0,2,3,Saturday
1,2,22,5,Friday
3,1,11,9,Monday
4,2,66,6,Saturday
1,0,27,3,Saturday
3,0,0,3,Sunday
4,2,9,3,Wednesday
1,1,54,8,Monday
3,2,65,2,Wednesday
6,0,44,1,Thursday
1,2,7,5,Saturday
3,0,32,4,Monday
3,1,87,7,Friday
5,2,21,3,Tuesday
3,2,57,1,Friday
3,0,76,8,Wednesday
4,1,90,9,Sunday
3,1,6,1,Tuesday
3,0,57,3,Saturday
5,1,57,2,Friday
5,1,7,4,Friday
1,0,3,4,Thursday
1,0,26,2,Saturday
3,0,35,2,Friday
1,1,75,9,Thursday
1,1,61,4,Friday
3,0,36,1,Saturday
1,1,4,9,Saturday
1,1,59,9,Saturday
1,0,19,1,Wednesday
1,0,16,2,Sunday
1,1,44,1,Saturday
1,0,3,7,Tuesday
3,0,79,4,Sunday
4,0,17,1,Saturday
4,0,57,2,Friday
2,1,2,2,Monday
4,2,40,8,Friday
1,2,40,1,Monday
4,1,42,5,Saturday
2,0,33,1,Saturday
4,2,8,3,Friday
6,1,0,4,Monday
1,0,8,1,Saturday
4,2,1,2,Thursday
1,0,11,6,Friday
1,1,18,7,Tuesday
1,1,46,9,Friday
2,0,2,1,Friday
5,1,4,3,Sunday
1,1,9,1,Saturday
3,0,4,5,Thursday
2,0,0,5,Thursday
4,2,4,3,Monday
3,2,75,4,Thursday
2,0,1,1,Sunday
4,2,42,1,Thursday
1,1,17,2,Monday
6,0,0,1,Monday
1,1,53,6,Saturday
6,2,23,1,Tuesday
5,1,2,7,Monday
1,2,40,3,Saturday
5,0,65,4,Saturday
3,0,5,1,Saturday
1,1,2,5,Friday
1,2,14,5,Saturday
6,1,12,4,Friday
1,0,66,8,Wednesday
1,0,9,6,Friday
5,0,18,1,Sunday
3,2,59,2,Friday
1,1,1,5,Saturday
2,2,37,9,Saturday
6,1,81,1,Thursday
1,1,0,1,Thursday
2,1,1,8,Monday
1,2,33,3,Saturday
2,0,40,9,Friday
1,1,89,9,Saturday
1,0,74,5,Saturday
2,2,97,3,Sunday
4,1,2,1,Tuesday
1,2,1,2,Sunday
5,0,80,1,Wednesday
2,2,13,1,Friday
6,1,90,2,Monday
5,1,13,2,Tuesday
1,1,70,2,Saturday
2,1,67,1,Thursday
2,2,0,7,Saturday
1,0,16,1,Tuesday
2,0,2,1,Sunday
5,0,68,9,Friday
1,0,90,1,Friday
1,0,10,3,Friday
2,2,31,5,Saturday
3,0,3,1,Saturday
4,1,39,3,Saturday
6,0,21,2,Friday
3,0,39,2,Saturday
2,1,4,2,Friday
4,1,55,8,Tuesday
2,0,15,9,Tuesday
1,0,35,4,Sunday
1,0,67,8,Saturday
3,0,65,1,Monday
1,0,50,4,Wednesday
1,1,1,9,Friday
4,0,59,4,Wednesday
2,2,0,9,Sunday
5,0,3,5,Tuesday
5,0,31,2,Sunday
2,0,69,8,Saturday
1,0,85,8,Friday
1,1,0,1,Friday
1,0,30,6,Wednesday
3,2,1,9,Thursday
1,0,0,4,Thursday
4,1,92,1,Friday
3,0,54,3,Saturday
2,0,12,6,Sunday
1,0,6,2,Thursday
6,2,92,1,Friday
6,0,27,2,Friday
4,0,10,1,Monday
2,0,43,9,Friday
3,1,74,3,Saturday
4,0,25,3,Friday
2,0,30,9,Friday
2,1,51,1,Tuesday
5,0,3,9,Tuesday
3,0,18,2,Saturday
1,0,0,1,Thursday
1,0,89,2,Tuesday
4,0,1,9,Thursday
1,2,32,7,Wednesday
2,1,3,1,Tuesday
6,2,15,1,Saturday
6,0,68,2,Monday
1,2,92,5,Sunday
3,0,1,1,Friday
2,0,0,2,Wednesday
4,0,4,4,Sunday
4,0,0,4,Tuesday
4,1,3,1,Sunday
1,0,2,7,Friday
6,2,77,9,Friday
1,1,6,1,Saturday
5,2,58,4,Thursday
3,0,87,1,Sunday
3,0,41,3,Saturday
6,1,0,2,Thursday
2,0,50,9,Wednesday
1,0,0,8,Monday
1,0,16,4,Monday
2,0,26,2,Monday
1,0,0,1,Friday
5,0,98,5,Wednesday
3,2,6,7,Saturday
3,0,30,2,Sunday
6,0,5,1,Friday
2,0,60,3,Monday
2,1,50,5,Saturday
2,0,40,1,Friday
2,1,31,1,Thursday
1,0,37,1,Sunday
3,0,3,6,Sunday
2,1,33,8,Tuesday
1,2,14,9,Saturday
1,0,15,4,Friday
1,0,3,6,Monday
1,0,85,5,Tuesday
1,2,27,7,Saturday
4,0,56,5,Wednesday
2,2,5,7,Wednesday
3,2,93,1,Wednesday
6,1,59,5,Monday
4,1,1,4,Saturday
2,0,31,1,Thursday
3,1,46,2,Monday
4,0,93,3,Saturday
1,1,51,5,Wednesday
1,0,0,7,Saturday
1,2,7,2,Saturday
6,2,83,1,Wednesday
2,0,96,6,Saturday
1,0,12,7,Thursday
3,1,0,1,Friday
1,0,0,7,Saturday
1,0,0,9,Saturday
3,1,75,9,Saturday
1,2,70,8,Friday
1,0,21,1,Tuesday
1,0,78,7,Thursday
1,0,86,9,Saturday
4,0,10,5,Friday
3,0,83,1,Friday
1,2,13,1,Monday
4,1,0,7,Friday
2,1,16,8,Sunday
4,0,81,3,Sunday
2,0,21,1,Monday
3,1,23,5,Monday
2,2,3,6,Wednesday
6,0,71,7,Saturday
1,1,0,2,Friday
1,1,24,3,Friday
1,0,24,6,Monday
1,2,76,7,Saturday
1,0,47,7,Friday
1,1,78,8,Monday
3,1,43,9,Friday
3,0,33,8,Saturday
1,2,3,1,Wednesday
2,0,40,5,Tuesday
3,1,14,1,Friday
3,2,3,4,Monday
6,0,13,1,Friday
1,0,40,9,Friday
2,0,4,1,Tuesday
3,1,0,7,Friday
6,2,0,5,Friday
6,2,77,9,Friday
2,1,1,3,Tuesday
3,0,4,6,Thursday
3,0,61,1,Thursday
4,0,27,1,Wednesday
1,1,7,1,Saturday
3,2,15,3,Sunday
1,0,1,4,Sunday
4,1,55,6,Friday
2,1,33,2,Saturday
2,0,86,1,Friday
6,1,0,9,Tuesday
6,0,5,5,Thursday
1,1,81,8,Friday
2,1,44,2,Sunday
2,0,0,2,Saturday
1,1,93,6,Monday
4,1,7,8,Thursday
5,1,32,1,Friday
5,2,0,1,Wednesday
5,1,32,7,Wednesday
1,1,84,8,Tuesday
2,0,19,3,Friday
3,0,43,3,Thursday
6,0,1,1,Wednesday
2,1,0,1,Friday
2,0,3,3,Monday
4,2,93,8,Wednesday
5,0,14,8,Saturday
2,1,48,2,Thursday
6,0,33,1,Sunday
1,0,60,1,Saturday
2,0,17,1,Monday
3,0,46,3,Wednesday
1,1,31,6,Thursday
2,0,92,1,Friday
2,0,16,7,Sunday
3,0,61,2,Friday
2,0,3,9,Tuesday
6,1,7,3,Wednesday
2,0,29,8,Saturday
1,2,5,9,Saturday
6,0,13,5,Friday
1,0,28,1,Saturday
1,2,0,3,Saturday
5,0,23,4,Wednesday
6,1,82,1,Thursday
2,1,7,3,Sunday
2,1,1,4,Friday
6,0,0,6,Monday
6,1,13,3,Tuesday
4,1,2,1,Sunday
2,0,2,2,Tuesday
5,0,81,5,Sunday
2,1,4,5,Wednesday
4,0,27,4,Sunday
1,2,0,7,Friday
3,1,18,1,Sunday
5,0,66,1,Wednesday
3,1,1,1,Thursday
3,0,53,9,Saturday
6,0,6,2,Saturday
1,0,40,2,Saturday
2,2,80,1,Wednesday
2,0,70,7,Saturday
3,0,0,2,Saturday
2,0,23,7,Wednesday
1,1,48,5,Tuesday
3,1,74,4,Thursday
1,0,5,1,Friday
6,0,41,2,Friday
1,0,9,8,Tuesday
4,2,69,1,Saturday
1,0,39,6,Tuesday
6,1,3,5,Friday
3,1,97,5,Saturday
3,2,46,9,Saturday
2,2,15,1,Saturday
2,0,7,7,Saturday
3,0,19,4,Tuesday
3,0,22,5,Friday
6,0,0,2,Saturday
4,0,25,5,Saturday
3,0,49,2,Saturday
2,1,1,8,Wednesday
1,1,89,8,Saturday
5,2,89,9,Friday
5,2,100,7,Tuesday
6,1,30,2,Tuesday
2,0,88,1,Tuesday
1,0,5,7,Saturday
4,2,68,1,Friday
2,1,26,2,Tuesday
1,0,71,2,Saturday
2,0,0,6,Wednesday
1,0,35,3,Saturday
2,0,94,5,Saturday
2,2,11,2,Sunday
3,1,57,1,Saturday
1,0,2,2,Sunday
3,0,35,8,Friday
3,2,12,1,Sunday
6,1,19,1,Friday
1,0,79,6,Tuesday
1,0,0,9,Saturday
2,0,78,5,Saturday
4,1,96,2,Sunday
6,1,19,6,Friday
6,0,56,5,Friday
2,2,20,5,Friday
6,2,5,1,Thursday
1,0,52,2,Thursday
3,0,71,4,Tuesday
2,0,9,1,Friday
1,0,76,3,Saturday
1,2,40,2,Friday
1,0,97,4,Thursday
6,0,7,2,Sunday
1,0,28,1,Saturday
3,0,28,3,Saturday
1,0,28,3,Thursday
1,0,48,1,Saturday
1,0,3,8,Thursday
1,0,18,3,Saturday
1,0,2,2,Saturday
1,0,14,4,Friday
3,0,88,2,Friday
1,0,41,7,Saturday
1,2,52,4,Saturday
4,2,82,4,Sunday
4,0,2,8,Sunday
6,0,0,1,Monday
3,0,96,6,Wednesday
6,1,37,5,Friday
4,0,0,8,Monday
4,1,56,5,Saturday
1,0,36,3,Friday
2,0,67,6,Friday
1,0,67,8,Saturday
5,0,64,2,Wednesday
1,0,75,1,Monday
1,2,4,1,Thursday
3,2,99,5,Thursday
3,0,30,6,Tuesday
1,0,31,2,Friday
5,0,8,1,Thursday
3,0,66,8,Saturday
3,0,14,4,Friday
6,0,81,1,Sunday
5,0,81,7,Monday
6,2,9,5,Tuesday
2,0,47,2,Tuesday
1,2,60,7,Friday
1,2,2,3,Saturday
2,0,81,7,Friday
6,1,38,6,Friday
1,1,3,3,Saturday
2,1,27,2,Saturday
3,2,97,5,Saturday
1,0,0,1,Saturday
1,2,26,4,Monday
1,2,38,2,Friday
1,1,24,8,Thursday
3,0,41,1,Thursday
4,0,3,3,Sunday
1,0,71,7,Monday
6,0,76,2,Friday
6,0,76,6,Friday
5,1,7,2,Sunday
3,0,22,4,Saturday
4,0,79,4,Friday
5,0,7,1,Sunday
1,0,90,2,Friday
1,0,48,4,Monday
4,0,50,2,Saturday
1,0,62,7,Thursday
5,0,19,3,Saturday
3,0,4,5,Saturday
4,0,6,1,Friday
3,0,89,2,Wednesday
2,2,12,9,Saturday
2,0,65,8,Tuesday
2,0,97,6,Wednesday
3,1,98,1,Tuesday
2,2,36,7,Sunday
2,0,0,1,Wednesday
1,0,7,7,Tuesday
1,1,43,4,Saturday
4,2,16,2,Friday
1,1,2,2,Saturday
1,1,5,9,Tuesday
6,0,50,4,Saturday
1,0,0,1,Wednesday
2,0,75,7,Monday
2,0,18,1,Wednesday
2,0,33,1,Monday
1,0,30,2,Tuesday
4,2,70,9,Wednesday
3,0,46,4,Friday
1,0,53,5,Friday
2,1,54,6,Friday
2,0,1,2,Saturday
2,1,10,4,Thursday
1,1,6,6,Thursday
2,0,48,3,Friday
1,1,31,2,Friday
5,0,48,5,Wednesday
1,2,51,7,Friday
4,0,46,8,Sunday
1,2,37,5,Saturday
3,0,95,2,Thursday
5,1,29,1,Sunday
2,1,0,4,Tuesday
1,0,1,1,Saturday
6,1,16,8,Saturday
3,0,20,2,Monday
2,0,51,4,Monday
1,1,55,3,Friday
2,0,34,1,Friday
2,1,10,3,Wednesday
2,0,100,9,Saturday
4,1,0,1,Sunday
1,2,44,1,Saturday
1,1,22,3,Friday
3,1,20,9,Saturday
3,0,1,4,Saturday
5,2,68,1,Wednesday
5,0,22,6,Friday
