,Adults,Children,LeadDays,LengthOfStay,ArrivalDate-WeekDay,1005,1032,1033,1034,1039,1042,1047,1050,1051,1052,1078,1080,40000,40006,1000,1014,1001
33,3,0,22,1,Wednesday,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
34,2,1,79,1,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,2,27,9,Wednesday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
36,2,2,1,1,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,1,2,54,5,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6,2,52,4,Friday,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
39,1,1,17,4,Wednesday,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
40,4,0,25,5,Wednesday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,2,2,0,2,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,6,0,22,8,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
43,1,2,75,4,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,1,1,0,2,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,0,98,4,Thursday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,6,0,29,2,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,2,0,35,3,Monday,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48,1,0,68,1,Wednesday,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,2,1,90,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,1,99,2,Saturday,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
51,1,0,25,3,Monday,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
52,1,1,0,5,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,2,0,6,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,0,82,2,Saturday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4,1,22,2,Friday,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
56,4,1,53,2,Monday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,2,0,5,2,Friday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,2,0,1,7,Saturday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,2,0,21,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,3,0,83,1,Saturday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,6,1,7,3,Tuesday,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,4,1,23,8,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,6,0,0,1,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,5,1,64,1,Saturday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,2,0,39,9,Monday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,1,2,7,1,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,0,9,2,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,2,17,6,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,2,0,83,1,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
70,1,1,1,2,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,6,0,13,5,Saturday,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
72,3,0,34,2,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,4,0,6,7,Saturday,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
74,1,1,49,5,Saturday,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
75,2,0,92,9,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2,0,19,1,Friday,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
77,3,1,0,1,Sunday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,1,2,10,3,Sunday,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
79,2,0,0,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,0,28,1,Sunday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,1,1,51,5,Friday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,1,2,2,5,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2,1,59,4,Tuesday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,3,1,51,7,Sunday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,6,0,69,1,Monday,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
86,6,2,0,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,5,2,0,7,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,0,71,7,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,6,1,1,2,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,0,46,1,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,1,1,2,Monday,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
92,1,2,58,3,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,6,1,48,4,Tuesday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,1,0,13,1,Saturday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,4,1,1,1,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96,4,1,2,2,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,5,1,4,2,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,6,1,3,3,Sunday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,0,4,8,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,0,40,2,Saturday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,5,2,12,9,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2,0,49,2,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,6,2,100,2,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,3,2,2,2,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2,1,18,6,Friday,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
106,1,1,8,5,Friday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107,5,0,100,5,Thursday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,2,1,46,9,Wednesday,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,5,0,86,1,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,2,0,53,2,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,2,2,2,4,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,1,9,8,Friday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
113,1,2,7,1,Friday,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
114,1,0,25,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,2,72,6,Saturday,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
116,1,0,53,5,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,0,76,8,Sunday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
118,1,1,6,5,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,3,1,18,2,Monday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,2,0,2,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1,0,25,1,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,2,23,4,Monday,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
123,1,1,47,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,4,0,30,5,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
125,1,2,47,1,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,1,27,6,Thursday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
127,1,1,44,7,Friday,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
128,2,0,2,2,Monday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,2,2,22,7,Friday,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
130,1,0,27,6,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,3,2,5,1,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2,2,80,9,Sunday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133,4,2,54,5,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1,0,92,8,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,3,2,39,8,Thursday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2,1,0,1,Saturday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,6,0,79,2,Thursday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,4,1,18,1,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139,3,0,31,9,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2,0,39,1,Monday,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
141,3,0,85,7,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,4,0,27,6,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
143,5,0,70,8,Tuesday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144,4,1,9,7,Saturday,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
145,5,1,42,1,Saturday,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
146,2,0,20,5,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,6,0,17,1,Monday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,6,0,27,4,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,5,0,22,2,Sunday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5,0,100,7,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151,3,2,76,8,Friday,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
152,2,1,1,4,Saturday,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
153,2,0,16,1,Wednesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,1,0,72,7,Tuesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,6,1,27,1,Thursday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
156,1,2,8,4,Saturday,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
157,3,1,0,7,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2,0,2,5,Friday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
159,1,0,55,1,Wednesday,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
160,2,1,20,9,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,6,0,85,8,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2,0,10,4,Tuesday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,4,1,18,1,Saturday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
164,1,1,0,2,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1,2,2,5,Friday,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
166,1,0,5,2,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,5,0,66,8,Sunday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
168,1,0,78,2,Thursday,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
169,2,0,11,1,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,6,0,3,5,Sunday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
171,6,1,80,8,Saturday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,6,0,1,2,Friday,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
173,5,2,23,8,Tuesday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
174,2,0,93,3,Friday,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
175,3,1,49,1,Saturday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
176,5,2,33,1,Tuesday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
177,6,1,47,9,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,6,0,72,1,Sunday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1,0,31,1,Sunday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,6,0,40,8,Wednesday,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
181,2,0,31,8,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2,0,66,5,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,3,0,50,1,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,4,0,41,3,Sunday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,6,1,47,1,Saturday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
186,5,2,21,1,Friday,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
187,1,1,10,1,Saturday,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,4,1,19,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,1,0,97,1,Monday,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,4,0,0,4,Sunday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2,1,59,5,Friday,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
192,1,2,30,4,Friday,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
193,6,0,5,1,Wednesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,6,0,2,1,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195,1,1,42,7,Friday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
196,5,2,34,7,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
197,2,0,1,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,1,1,39,3,Saturday,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
199,3,0,16,6,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5,0,2,4,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,3,0,55,6,Saturday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202,5,1,88,1,Saturday,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
203,4,2,1,3,Friday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,1,2,4,7,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
205,2,1,17,2,Friday,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
206,1,0,27,9,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,3,1,48,1,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1,0,79,1,Tuesday,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
209,1,0,64,5,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1,0,64,7,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,5,0,30,1,Friday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
212,1,0,1,4,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
213,1,0,81,1,Monday,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
214,6,0,32,3,Sunday,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215,5,2,42,3,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
216,4,0,0,4,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
217,4,1,1,7,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
218,1,0,52,3,Tuesday,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
219,5,0,67,2,Saturday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,6,2,17,8,Tuesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
221,1,0,0,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,4,1,1,1,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,4,1,1,1,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,6,2,45,1,Friday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
225,3,0,28,4,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,4,0,60,1,Saturday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
227,6,2,66,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,1,0,19,1,Tuesday,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
229,1,0,73,3,Friday,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
230,2,1,87,6,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
231,4,1,82,3,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
232,1,1,5,9,Thursday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
233,5,0,3,2,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,6,0,2,7,Saturday,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
235,6,1,3,2,Sunday,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
236,4,0,55,4,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,1,0,36,1,Friday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
238,3,2,8,2,Thursday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
239,1,0,35,7,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4,0,46,2,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,5,1,93,1,Saturday,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
242,6,0,51,4,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
243,1,2,80,8,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1,1,3,1,Sunday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
245,2,1,35,3,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,3,1,16,6,Monday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2,0,1,2,Saturday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
248,6,0,94,2,Friday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
249,1,1,14,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
250,3,2,26,5,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2,0,65,1,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2,0,0,7,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
253,1,2,53,3,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,1,0,93,2,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,3,0,10,1,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,1,1,61,2,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,3,2,59,2,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,1,0,39,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
259,1,0,17,7,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
260,1,0,83,9,Monday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
261,4,0,49,1,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,2,2,26,1,Friday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
263,3,2,1,1,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,2,0,16,2,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
265,1,0,22,8,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
266,5,0,0,1,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,2,2,36,8,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,4,0,0,4,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,2,0,24,1,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1,1,0,5,Tuesday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
271,3,1,12,1,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,4,1,21,2,Saturday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
273,4,0,79,7,Wednesday,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
274,1,0,91,5,Friday,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
275,2,0,18,1,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
276,4,1,49,5,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
277,3,2,73,2,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,4,0,2,3,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
279,2,0,94,8,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5,1,31,3,Sunday,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
281,1,2,79,3,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
