ArrivalDate-Weekday;Arrival-Month;LeadDays;channel-id;lang-id
SATURDAY ;12;21;7;1
THURSDAY ;12;39;6;1
WEDNESDAY;2;2;1;3
WEDNESDAY;9;7;1;1
MONDAY   ;8;189;1;1
SUNDAY   ;10;47;1;1
SUNDAY   ;8;4;12;1
WEDNESDAY;10;23;1;1
WEDNESDAY;10;22;1;1
WEDNESDAY;9;44;1;1
WEDNESDAY;9;37;1;1
MONDAY   ;10;19;1;1
WEDNESDAY;9;7;1;1
THURSDAY ;3;0;12;1
THURSDAY ;6;59;1;1
SUNDAY   ;8;4;7;1
FRIDAY   ;9;39;1;1
MONDAY   ;1;131;6;1
WEDNESDAY;1;111;6;1
THURSDAY ;1;99;6;1
WEDNESDAY;1;83;6;1
FRIDAY   ;1;79;6;1
TUESDAY  ;1;74;6;1
THURSDAY ;1;63;6;1
WEDNESDAY;1;56;6;1
FRIDAY   ;1;54;6;1
TUESDAY  ;1;36;6;1
THURSDAY ;1;37;6;1
THURSDAY ;1;43;6;1
TUESDAY  ;1;41;6;1
SUNDAY   ;1;46;6;1
TUESDAY  ;1;39;6;1
TUESDAY  ;1;50;6;1
THURSDAY ;1;22;6;1
MONDAY   ;1;19;6;1
FRIDAY   ;1;29;6;1
FRIDAY   ;2;54;6;1
FRIDAY   ;1;23;6;1
WEDNESDAY;1;13;6;1
THURSDAY ;1;12;6;1
TUESDAY  ;1;31;6;1
MONDAY   ;1;9;6;1
MONDAY   ;2;35;6;1
SATURDAY ;1;17;6;1
MONDAY   ;1;12;6;1
MONDAY   ;1;12;6;1
FRIDAY   ;1;22;6;1
THURSDAY ;1;7;6;1
SUNDAY   ;1;12;6;1
THURSDAY ;1;1;6;1
WEDNESDAY;1;21;13;1
SATURDAY ;1;7;6;1
SUNDAY   ;2;19;6;1
THURSDAY ;1;8;6;1
MONDAY   ;2;15;6;1
FRIDAY   ;1;4;6;1
THURSDAY ;1;2;6;1
FRIDAY   ;2;9;6;1
FRIDAY   ;1;2;6;1
THURSDAY ;2;2;6;1
FRIDAY   ;2;10;6;1
FRIDAY   ;2;10;6;1
FRIDAY   ;2;9;6;1
WEDNESDAY;2;3;6;1
FRIDAY   ;2;5;6;1
THURSDAY ;2;3;6;1
FRIDAY   ;2;173;6;1
FRIDAY   ;5;177;6;1
FRIDAY   ;5;177;6;1
SUNDAY   ;3;71;6;1
WEDNESDAY;2;25;6;1
THURSDAY ;3;44;6;1
SUNDAY   ;3;53;6;1
THURSDAY ;2;22;6;1
WEDNESDAY;2;19;6;1
WEDNESDAY;2;16;6;1
SUNDAY   ;7;186;6;1
SUNDAY   ;7;185;6;1
FRIDAY   ;10;3;6;1
MONDAY   ;6;40;6;1
TUESDAY  ;4;7;6;1
FRIDAY   ;9;5;6;1
FRIDAY   ;11;61;6;1
MONDAY   ;8;41;6;1
SUNDAY   ;10;11;6;1
MONDAY   ;9;38;6;1
SUNDAY   ;1;16;7;1
WEDNESDAY;5;1;6;1
SATURDAY ;6;34;6;1
SUNDAY   ;9;10;6;1
TUESDAY  ;1;19;7;1
TUESDAY  ;5;4;6;1
SUNDAY   ;10;7;6;1
WEDNESDAY;1;69;7;1
FRIDAY   ;3;2;6;1
THURSDAY ;6;14;6;1
FRIDAY   ;2;123;6;1
THURSDAY ;5;36;6;1
MONDAY   ;9;1;6;1
WEDNESDAY;1;21;7;1
MONDAY   ;8;41;6;1
SATURDAY ;3;23;6;1
FRIDAY   ;6;5;6;1
SATURDAY ;9;40;6;1
THURSDAY ;5;53;6;1
SATURDAY ;6;13;6;1
SATURDAY ;7;21;6;1
FRIDAY   ;9;14;6;1
SATURDAY ;12;55;6;1
THURSDAY ;12;174;6;1
WEDNESDAY;5;5;6;1
FRIDAY   ;3;8;6;1
TUESDAY  ;7;1;6;1
WEDNESDAY;9;28;6;1
THURSDAY ;9;18;6;1
WEDNESDAY;7;17;6;1
THURSDAY ;12;125;6;1
SATURDAY ;2;1;6;1
SUNDAY   ;6;11;7;1
TUESDAY  ;5;3;7;1
FRIDAY   ;7;39;6;1
WEDNESDAY;9;34;6;1
TUESDAY  ;9;8;6;1
THURSDAY ;9;43;6;1
WEDNESDAY;6;1;6;1
FRIDAY   ;3;52;7;1
WEDNESDAY;5;0;7;1
MONDAY   ;10;5;6;1
THURSDAY ;12;172;6;1
SATURDAY ;6;14;6;1
TUESDAY  ;8;0;6;1
SATURDAY ;3;1;6;1
MONDAY   ;5;23;6;1
TUESDAY  ;5;2;6;1
MONDAY   ;12;72;6;1
FRIDAY   ;6;77;6;1
THURSDAY ;5;42;6;1
FRIDAY   ;8;15;6;1
SUNDAY   ;2;4;6;1
FRIDAY   ;4;37;6;1
SUNDAY   ;10;37;7;1
SUNDAY   ;5;5;6;1
SUNDAY   ;3;48;6;1
SATURDAY ;11;68;6;1
TUESDAY  ;7;16;6;1
SUNDAY   ;9;47;6;1
FRIDAY   ;5;42;6;1
TUESDAY  ;9;5;6;1
SUNDAY   ;2;17;6;1
TUESDAY  ;8;24;6;1
FRIDAY   ;6;5;6;1
TUESDAY  ;3;8;6;1
MONDAY   ;7;3;6;1
THURSDAY ;9;6;7;1
MONDAY   ;6;56;3;1
SATURDAY ;4;18;6;1
MONDAY   ;10;54;6;1
SATURDAY ;6;21;6;1
THURSDAY ;5;35;6;1
FRIDAY   ;6;17;6;1
WEDNESDAY;3;5;7;1
FRIDAY   ;9;75;6;1
SUNDAY   ;2;6;7;1
TUESDAY  ;5;9;6;1
FRIDAY   ;7;11;6;1
THURSDAY ;10;28;6;1
MONDAY   ;7;0;7;1
SUNDAY   ;4;56;6;1
FRIDAY   ;5;61;6;1
THURSDAY ;7;12;6;1
FRIDAY   ;6;5;6;1
SUNDAY   ;5;11;6;1
FRIDAY   ;5;32;6;1
THURSDAY ;5;34;6;1
SUNDAY   ;6;2;6;1
MONDAY   ;9;8;6;1
MONDAY   ;4;39;6;1
FRIDAY   ;6;24;6;1
FRIDAY   ;7;1;6;1
FRIDAY   ;4;11;6;1
THURSDAY ;9;1;6;1
WEDNESDAY;10;2;6;1
FRIDAY   ;3;5;6;1
FRIDAY   ;6;0;6;1
MONDAY   ;9;28;6;1
WEDNESDAY;6;23;6;1
WEDNESDAY;2;0;7;1
TUESDAY  ;1;1;7;1
TUESDAY  ;6;13;6;1
FRIDAY   ;1;0;7;1
FRIDAY   ;3;2;6;1
TUESDAY  ;7;8;6;1
THURSDAY ;9;31;7;1
FRIDAY   ;6;3;6;1
SUNDAY   ;5;11;6;1
FRIDAY   ;2;1;6;1
TUESDAY  ;7;9;6;1
THURSDAY ;8;29;6;1
FRIDAY   ;3;1;6;1
TUESDAY  ;1;24;7;1
SATURDAY ;1;1;7;1
THURSDAY ;1;7;7;1
WEDNESDAY;3;8;13;1
SUNDAY   ;3;3;6;1
TUESDAY  ;10;7;6;1
MONDAY   ;1;9;7;1
FRIDAY   ;4;15;6;1
MONDAY   ;7;80;6;1
THURSDAY ;5;15;6;1
SUNDAY   ;9;62;6;1
MONDAY   ;11;26;6;1
MONDAY   ;2;34;7;1
FRIDAY   ;1;3;7;1
SATURDAY ;9;4;6;1
MONDAY   ;10;14;6;1
SATURDAY ;5;17;6;1
SUNDAY   ;4;5;6;1
FRIDAY   ;5;1;6;1
THURSDAY ;9;9;6;1
FRIDAY   ;5;3;6;1
SUNDAY   ;9;24;6;1
FRIDAY   ;10;38;6;1
MONDAY   ;8;16;6;1
WEDNESDAY;10;26;6;1
TUESDAY  ;5;1;6;1
SATURDAY ;5;14;7;1
TUESDAY  ;3;9;6;1
SATURDAY ;1;99;7;1
SUNDAY   ;10;9;6;1
WEDNESDAY;4;5;6;1
THURSDAY ;5;1;6;1
FRIDAY   ;6;21;6;1
TUESDAY  ;10;4;6;1
SATURDAY ;9;5;6;1
THURSDAY ;5;10;6;1
FRIDAY   ;1;3;7;1
SATURDAY ;5;17;6;1
TUESDAY  ;1;1;7;1
TUESDAY  ;8;11;6;1
SUNDAY   ;5;33;6;1
MONDAY   ;6;4;13;1
WEDNESDAY;10;8;7;1
SATURDAY ;4;60;6;1
MONDAY   ;3;6;6;1
SATURDAY ;5;5;6;1
FRIDAY   ;4;1;6;1
FRIDAY   ;6;2;6;1
MONDAY   ;8;0;6;1
MONDAY   ;8;1;6;1
SUNDAY   ;7;0;6;1
MONDAY   ;1;111;7;1
THURSDAY ;9;43;6;1
MONDAY   ;5;0;6;1
FRIDAY   ;10;34;6;1
SATURDAY ;8;7;6;1
WEDNESDAY;4;1;6;1
SATURDAY ;10;18;6;1
FRIDAY   ;10;10;6;1
WEDNESDAY;9;8;6;1
WEDNESDAY;5;57;6;1
SATURDAY ;9;12;6;1
MONDAY   ;5;1;6;1
FRIDAY   ;10;1;6;1
THURSDAY ;6;17;6;1
FRIDAY   ;3;53;6;1
THURSDAY ;9;9;6;1
WEDNESDAY;6;15;6;1
SUNDAY   ;2;10;7;1
MONDAY   ;5;7;6;1
FRIDAY   ;5;18;6;1
MONDAY   ;8;1;6;1
MONDAY   ;2;3;7;1
FRIDAY   ;5;11;6;1
FRIDAY   ;6;52;6;1
MONDAY   ;4;5;6;1
FRIDAY   ;12;87;6;1
FRIDAY   ;8;89;6;1
SATURDAY ;7;12;6;1
SATURDAY ;7;13;6;1
SATURDAY ;4;160;13;1
THURSDAY ;6;1;6;1
MONDAY   ;5;13;6;1
SUNDAY   ;4;14;1;1
TUESDAY  ;9;40;1;1
MONDAY   ;3;5;1;1
FRIDAY   ;10;125;1;1
TUESDAY  ;9;28;1;1
THURSDAY ;5;3;1;1
SUNDAY   ;3;0;12;1
WEDNESDAY;4;12;1;1
MONDAY   ;9;6;13;1
THURSDAY ;9;54;6;1
SATURDAY ;12;54;6;1
FRIDAY   ;11;40;6;1
TUESDAY  ;3;5;6;1
SATURDAY ;7;13;6;1
SUNDAY   ;3;2;6;1
MONDAY   ;9;7;6;1
FRIDAY   ;9;42;6;1
TUESDAY  ;5;19;6;1
SATURDAY ;12;54;6;1
SUNDAY   ;4;18;6;1
SATURDAY ;12;62;6;1
THURSDAY ;8;2;6;1
MONDAY   ;10;16;6;1
THURSDAY ;7;38;6;1
FRIDAY   ;11;43;6;1
THURSDAY ;11;11;6;1
FRIDAY   ;5;11;6;1
SATURDAY ;10;30;6;1
MONDAY   ;9;3;6;1
THURSDAY ;7;33;6;1
SATURDAY ;7;19;6;1
TUESDAY  ;4;6;6;1
MONDAY   ;4;25;6;1
FRIDAY   ;9;76;6;1
FRIDAY   ;9;24;6;1
TUESDAY  ;12;57;6;1
THURSDAY ;5;5;6;1
MONDAY   ;10;21;6;1
THURSDAY ;5;7;6;1
SATURDAY ;12;55;6;1
FRIDAY   ;5;17;6;1
WEDNESDAY;3;2;6;1
WEDNESDAY;6;8;6;1
SATURDAY ;5;10;6;1
WEDNESDAY;10;40;6;1
THURSDAY ;6;84;6;1
MONDAY   ;7;17;6;1
THURSDAY ;6;29;6;1
FRIDAY   ;4;11;6;1
SUNDAY   ;12;76;6;1
MONDAY   ;10;71;6;1
THURSDAY ;10;137;6;1
TUESDAY  ;5;1;1;1
TUESDAY  ;11;13;6;1
THURSDAY ;12;7;6;1
SATURDAY ;11;1;6;1
SATURDAY ;10;6;12;1
SATURDAY ;11;1;6;1
SUNDAY   ;11;2;6;1
FRIDAY   ;12;2;6;1
SATURDAY ;11;2;6;1
SUNDAY   ;12;1;6;1
WEDNESDAY;12;67;6;1
FRIDAY   ;11;0;7;1
THURSDAY ;12;9;7;1
MONDAY   ;12;3;6;1
MONDAY   ;11;6;6;1
TUESDAY  ;12;14;6;1
SUNDAY   ;12;3;7;1
THURSDAY ;11;2;6;1
TUESDAY  ;12;18;6;1
THURSDAY ;12;1;7;1
MONDAY   ;11;3;13;1
WEDNESDAY;12;4;6;1
MONDAY   ;12;1;6;1
MONDAY   ;11;24;13;1
TUESDAY  ;11;15;6;1
WEDNESDAY;12;0;6;1
TUESDAY  ;12;7;13;1
WEDNESDAY;11;23;13;1
FRIDAY   ;12;4;7;1
SUNDAY   ;11;2;6;1
MONDAY   ;12;0;6;1
SUNDAY   ;11;5;7;1
FRIDAY   ;11;2;7;1
FRIDAY   ;11;2;7;1
WEDNESDAY;11;0;6;1
SUNDAY   ;12;0;7;1
WEDNESDAY;11;10;1;1
MONDAY   ;11;7;7;1
SUNDAY   ;11;0;7;1
WEDNESDAY;11;1;1;1
TUESDAY  ;11;0;7;1
WEDNESDAY;11;1;6;1
MONDAY   ;11;0;6;1
WEDNESDAY;11;2;6;1
FRIDAY   ;12;30;7;1
FRIDAY   ;12;25;7;1
FRIDAY   ;11;55;6;1
FRIDAY   ;12;3;6;1
SUNDAY   ;10;2;6;1
THURSDAY ;12;70;7;1
SUNDAY   ;12;4;7;1
SUNDAY   ;12;6;7;1
WEDNESDAY;12;79;6;1
WEDNESDAY;12;0;6;1
THURSDAY ;11;34;13;1
THURSDAY ;11;8;7;1
WEDNESDAY;11;7;7;1
MONDAY   ;10;3;6;1
SATURDAY ;11;47;1;1
WEDNESDAY;12;5;7;1
FRIDAY   ;12;121;7;1
THURSDAY ;11;44;7;1
SATURDAY ;12;0;6;1
WEDNESDAY;12;44;6;1
SATURDAY ;10;2;6;1
FRIDAY   ;12;43;6;1
WEDNESDAY;11;5;7;1
THURSDAY ;12;13;6;1
WEDNESDAY;11;0;6;1
THURSDAY ;11;29;6;1
MONDAY   ;12;12;6;1
FRIDAY   ;10;190;6;1
SATURDAY ;11;3;6;1
FRIDAY   ;11;1;7;1
MONDAY   ;12;14;7;1
WEDNESDAY;11;0;7;1
WEDNESDAY;12;67;6;1
SATURDAY ;12;18;6;1
SUNDAY   ;12;56;6;1
WEDNESDAY;11;20;6;1
THURSDAY ;12;7;7;1
MONDAY   ;11;40;6;1
MONDAY   ;12;0;6;1
THURSDAY ;10;45;7;1
MONDAY   ;12;13;1;1
FRIDAY   ;11;3;6;1
FRIDAY   ;11;3;6;1
FRIDAY   ;11;12;6;1
SUNDAY   ;12;3;6;1
TUESDAY  ;11;11;13;1
FRIDAY   ;11;6;6;1
TUESDAY  ;10;33;7;1
THURSDAY ;11;36;6;1
SUNDAY   ;12;50;6;1
SATURDAY ;12;17;7;1
WEDNESDAY;10;2;6;1
MONDAY   ;12;17;6;1
SUNDAY   ;11;17;6;1
TUESDAY  ;1;28;1;1
WEDNESDAY;1;49;13;1
THURSDAY ;1;15;13;1
WEDNESDAY;1;7;1;1
SUNDAY   ;1;17;13;1
TUESDAY  ;1;14;13;1
WEDNESDAY;2;21;13;1
TUESDAY  ;2;4;13;1
TUESDAY  ;2;7;13;1
MONDAY   ;6;123;13;1
THURSDAY ;3;22;13;1
SATURDAY ;7;33;6;1
THURSDAY ;4;41;6;1
WEDNESDAY;12;145;6;1
TUESDAY  ;6;52;6;1
WEDNESDAY;3;40;6;1
SATURDAY ;4;16;6;1
SATURDAY ;8;88;6;1
SATURDAY ;8;18;6;1
MONDAY   ;4;29;6;1
THURSDAY ;6;8;6;1
SATURDAY ;6;4;6;1
SATURDAY ;4;40;6;1
MONDAY   ;6;112;6;1
SATURDAY ;11;26;6;1
THURSDAY ;8;90;6;1
MONDAY   ;6;46;6;1
THURSDAY ;3;14;6;1
MONDAY   ;4;29;6;1
SATURDAY ;10;117;6;1
SATURDAY ;10;14;6;1
WEDNESDAY;9;62;6;1
WEDNESDAY;3;1;7;1
SATURDAY ;3;3;7;1
SATURDAY ;7;1;6;1
SATURDAY ;5;0;6;1
FRIDAY   ;2;113;6;1
FRIDAY   ;4;23;7;1
SATURDAY ;7;87;6;1
MONDAY   ;4;3;6;1
FRIDAY   ;11;39;7;1
WEDNESDAY;3;1;6;1
MONDAY   ;10;7;7;1
SATURDAY ;6;17;7;1
WEDNESDAY;9;9;7;1
WEDNESDAY;4;8;7;1
SUNDAY   ;7;3;7;1
MONDAY   ;5;64;6;1
MONDAY   ;9;31;6;1
SUNDAY   ;4;44;6;1
MONDAY   ;10;13;13;1
THURSDAY ;3;2;7;1
THURSDAY ;9;16;13;1
TUESDAY  ;3;15;7;1
MONDAY   ;5;6;6;1
SATURDAY ;3;0;7;1
MONDAY   ;1;47;7;1
SUNDAY   ;9;1;7;1
TUESDAY  ;4;0;7;1
SUNDAY   ;3;1;6;1
TUESDAY  ;4;7;7;1
FRIDAY   ;5;2;7;1
SATURDAY ;7;17;6;1
MONDAY   ;5;42;3;1
THURSDAY ;6;17;6;1
FRIDAY   ;8;8;7;1
WEDNESDAY;9;1;6;1
MONDAY   ;8;55;6;1
SATURDAY ;4;12;7;1
MONDAY   ;10;95;6;1
SATURDAY ;4;0;6;1
SATURDAY ;7;23;7;1
WEDNESDAY;5;12;13;1
SATURDAY ;9;14;7;1
SATURDAY ;3;3;13;1
FRIDAY   ;7;1;7;1
SUNDAY   ;10;17;13;1
SATURDAY ;1;39;7;1
SATURDAY ;2;10;7;1
THURSDAY ;6;9;7;1
TUESDAY  ;8;85;7;1
WEDNESDAY;7;42;6;1
THURSDAY ;9;21;7;1
FRIDAY   ;11;31;7;1
SATURDAY ;3;54;7;1
WEDNESDAY;5;112;7;1
SUNDAY   ;6;1;6;1
THURSDAY ;9;17;7;1
FRIDAY   ;3;9;7;1
WEDNESDAY;6;38;6;1
SATURDAY ;3;0;6;1
WEDNESDAY;1;90;7;1
SUNDAY   ;1;11;7;1
SATURDAY ;3;5;7;1
TUESDAY  ;1;5;7;1
TUESDAY  ;8;15;6;1
MONDAY   ;7;88;7;1
THURSDAY ;5;6;7;1
SATURDAY ;4;60;6;1
FRIDAY   ;3;17;7;1
WEDNESDAY;8;2;7;1
TUESDAY  ;10;6;13;1
MONDAY   ;4;6;6;1
SATURDAY ;9;3;7;1
SUNDAY   ;3;0;6;1
FRIDAY   ;6;17;6;1
WEDNESDAY;10;20;7;1
SATURDAY ;4;12;13;1
SATURDAY ;6;23;6;1
FRIDAY   ;9;23;6;1
TUESDAY  ;7;25;7;1
SUNDAY   ;7;12;7;1
SATURDAY ;6;1;6;1
FRIDAY   ;5;3;7;1
MONDAY   ;2;1;7;1
FRIDAY   ;6;57;13;1
FRIDAY   ;5;9;7;1
TUESDAY  ;1;11;7;1
TUESDAY  ;4;14;7;1
FRIDAY   ;7;71;6;1
MONDAY   ;11;36;7;1
FRIDAY   ;2;18;7;1
TUESDAY  ;6;50;7;1
SUNDAY   ;2;136;6;1
SUNDAY   ;7;74;6;1
THURSDAY ;8;52;13;1
SATURDAY ;6;8;7;1
WEDNESDAY;5;2;7;1
MONDAY   ;3;25;13;1
SUNDAY   ;5;5;7;1
WEDNESDAY;6;16;7;1
WEDNESDAY;4;8;7;1
THURSDAY ;5;40;6;1
FRIDAY   ;2;27;7;1
FRIDAY   ;2;9;7;1
WEDNESDAY;5;24;6;1
THURSDAY ;4;28;7;1
MONDAY   ;1;0;7;1
WEDNESDAY;7;2;7;1
SATURDAY ;4;2;7;1
WEDNESDAY;11;71;7;1
MONDAY   ;9;6;7;1
WEDNESDAY;5;103;13;1
FRIDAY   ;3;0;7;1
FRIDAY   ;9;49;13;1
SUNDAY   ;10;1;6;1
TUESDAY  ;7;63;7;1
SATURDAY ;6;18;7;1
SUNDAY   ;8;32;7;1
WEDNESDAY;8;59;6;1
SUNDAY   ;6;66;7;1
WEDNESDAY;1;6;7;1
FRIDAY   ;1;9;7;1
MONDAY   ;3;32;7;1
WEDNESDAY;7;98;6;1
SATURDAY ;2;0;6;1
THURSDAY ;12;94;6;1
SUNDAY   ;8;0;7;1
FRIDAY   ;1;8;7;1
TUESDAY  ;9;0;7;1
MONDAY   ;8;55;7;1
TUESDAY  ;2;12;6;1
THURSDAY ;3;6;13;1
SATURDAY ;1;31;7;1
WEDNESDAY;9;16;7;1
THURSDAY ;9;1;6;1
MONDAY   ;6;31;7;1
WEDNESDAY;7;4;6;1
SUNDAY   ;6;10;7;1
WEDNESDAY;1;35;7;1
WEDNESDAY;2;8;6;1
MONDAY   ;9;10;7;1
WEDNESDAY;7;5;7;1
MONDAY   ;6;67;6;1
TUESDAY  ;8;20;7;1
WEDNESDAY;1;6;7;1
MONDAY   ;4;0;7;1
THURSDAY ;4;13;7;1
SUNDAY   ;7;23;6;1
TUESDAY  ;9;7;13;1
TUESDAY  ;7;43;13;1
SATURDAY ;7;0;7;1
SATURDAY ;5;3;6;1
WEDNESDAY;4;15;7;1
SUNDAY   ;2;3;7;1
THURSDAY ;5;6;13;1
SATURDAY ;1;5;7;1
TUESDAY  ;2;40;6;1
SUNDAY   ;8;7;7;1
WEDNESDAY;6;2;6;1
MONDAY   ;4;3;6;1
THURSDAY ;10;12;7;1
MONDAY   ;7;19;7;1
THURSDAY ;6;3;7;1
TUESDAY  ;4;12;7;1
MONDAY   ;6;18;7;1
THURSDAY ;1;1;7;1
WEDNESDAY;1;8;7;1
FRIDAY   ;10;11;13;1
FRIDAY   ;12;0;7;1
SUNDAY   ;5;9;13;1
SATURDAY ;3;0;7;1
TUESDAY  ;8;17;6;1
SUNDAY   ;4;26;7;1
SUNDAY   ;5;37;7;1
SATURDAY ;5;31;6;1
THURSDAY ;7;35;6;1
MONDAY   ;6;67;6;1
TUESDAY  ;6;19;13;1
SUNDAY   ;8;75;7;1
WEDNESDAY;6;41;13;1
TUESDAY  ;8;20;6;1
SATURDAY ;4;0;6;1
THURSDAY ;5;43;6;1
TUESDAY  ;6;46;7;1
TUESDAY  ;1;12;7;1
SATURDAY ;3;0;7;1
TUESDAY  ;2;13;6;1
MONDAY   ;6;6;7;1
SATURDAY ;3;5;7;1
MONDAY   ;7;15;6;1
TUESDAY  ;10;7;7;1
SATURDAY ;4;8;7;1
THURSDAY ;6;12;6;1
FRIDAY   ;2;0;7;1
SATURDAY ;6;70;6;1
SUNDAY   ;9;5;7;1
SATURDAY ;9;65;7;1
SATURDAY ;7;4;7;1
TUESDAY  ;9;6;7;1
SUNDAY   ;7;5;7;1
SATURDAY ;3;5;7;1
WEDNESDAY;7;12;6;1
WEDNESDAY;5;21;7;1
TUESDAY  ;5;0;6;1
MONDAY   ;5;1;6;1
SUNDAY   ;4;0;7;1
THURSDAY ;6;8;7;1
MONDAY   ;2;3;7;1
SUNDAY   ;11;76;7;1
WEDNESDAY;1;5;7;1
WEDNESDAY;1;56;7;1
SUNDAY   ;7;58;6;1
FRIDAY   ;9;3;7;1
TUESDAY  ;2;40;6;1
THURSDAY ;1;31;7;1
FRIDAY   ;5;42;6;1
THURSDAY ;7;2;6;1
SUNDAY   ;2;10;7;1
SATURDAY ;6;1;6;1
TUESDAY  ;4;13;13;1
SATURDAY ;4;60;6;1
MONDAY   ;2;4;7;1
THURSDAY ;3;13;13;1
SUNDAY   ;8;13;7;1
TUESDAY  ;6;36;7;1
SUNDAY   ;4;10;7;1
MONDAY   ;3;2;6;1
TUESDAY  ;10;1;13;1
SATURDAY ;7;0;7;1
SUNDAY   ;6;12;7;1
THURSDAY ;1;91;7;1
THURSDAY ;12;76;6;1
SATURDAY ;4;1;6;1
SUNDAY   ;9;22;7;1
THURSDAY ;3;0;7;1
SATURDAY ;6;18;7;1
SUNDAY   ;10;45;7;1
SUNDAY   ;9;36;6;1
MONDAY   ;2;6;7;1
FRIDAY   ;9;9;7;1
SUNDAY   ;7;4;6;1
SUNDAY   ;5;46;6;1
THURSDAY ;3;17;7;1
SATURDAY ;7;49;6;1
THURSDAY ;7;1;7;1
FRIDAY   ;10;18;6;1
FRIDAY   ;8;119;7;1
FRIDAY   ;11;31;7;1
FRIDAY   ;7;318;6;1
SATURDAY ;6;16;6;1
WEDNESDAY;1;6;7;1
MONDAY   ;6;5;7;1
MONDAY   ;9;46;6;1
SATURDAY ;2;32;1;1
SATURDAY ;4;8;7;1
TUESDAY  ;9;7;7;1
THURSDAY ;5;6;7;1
TUESDAY  ;3;3;7;1
TUESDAY  ;7;46;6;1
WEDNESDAY;1;5;7;1
TUESDAY  ;8;5;7;1
MONDAY   ;6;5;13;1
TUESDAY  ;2;40;6;1
WEDNESDAY;9;7;7;1
SUNDAY   ;7;176;6;1
MONDAY   ;3;0;6;1
SUNDAY   ;10;18;7;1
SUNDAY   ;8;45;6;1
TUESDAY  ;9;25;7;1
MONDAY   ;5;7;7;1
FRIDAY   ;7;0;6;1
WEDNESDAY;4;15;7;1
TUESDAY  ;2;3;7;1
FRIDAY   ;12;0;7;1
MONDAY   ;4;5;13;1
WEDNESDAY;1;12;7;1
TUESDAY  ;3;1;7;1
SUNDAY   ;2;3;13;1
TUESDAY  ;2;6;7;1
THURSDAY ;3;16;7;1
TUESDAY  ;1;1;7;1
THURSDAY ;9;49;13;1
WEDNESDAY;10;63;13;1
TUESDAY  ;3;3;7;1
TUESDAY  ;3;12;13;1
SUNDAY   ;7;3;13;1
SATURDAY ;5;38;7;1
WEDNESDAY;4;14;7;1
MONDAY   ;1;0;7;1
FRIDAY   ;11;232;13;1
WEDNESDAY;1;5;7;1
WEDNESDAY;6;26;13;1
THURSDAY ;3;24;13;1
FRIDAY   ;6;3;7;1
TUESDAY  ;5;26;13;1
MONDAY   ;10;5;7;1
SATURDAY ;8;10;7;1
TUESDAY  ;1;18;7;1
SUNDAY   ;9;10;6;1
FRIDAY   ;7;11;7;1
THURSDAY ;3;0;6;1
THURSDAY ;2;43;7;1
THURSDAY ;5;44;6;1
WEDNESDAY;5;5;6;1
THURSDAY ;10;10;7;1
MONDAY   ;7;19;7;1
THURSDAY ;2;8;7;1
SUNDAY   ;10;244;13;1
WEDNESDAY;3;33;6;1
THURSDAY ;10;8;6;1
MONDAY   ;1;33;7;1
SATURDAY ;3;29;7;1
THURSDAY ;8;6;7;1
THURSDAY ;9;8;7;1
TUESDAY  ;6;21;6;1
WEDNESDAY;5;5;13;1
TUESDAY  ;2;21;7;1
WEDNESDAY;3;1;13;1
TUESDAY  ;6;39;13;1
MONDAY   ;9;271;6;1
SUNDAY   ;5;32;6;1
TUESDAY  ;3;1;7;1
TUESDAY  ;12;75;7;1
TUESDAY  ;6;25;6;1
TUESDAY  ;5;8;7;1
MONDAY   ;3;6;13;1
FRIDAY   ;3;2;6;1
THURSDAY ;10;8;7;1
WEDNESDAY;6;1;6;1
TUESDAY  ;3;2;6;1
TUESDAY  ;5;72;6;1
THURSDAY ;4;13;7;1
SUNDAY   ;1;31;7;1
WEDNESDAY;1;6;7;1
MONDAY   ;2;0;7;1
SATURDAY ;6;1;6;1
THURSDAY ;5;8;7;1
SUNDAY   ;10;17;7;1
TUESDAY  ;10;7;7;1
MONDAY   ;8;1;7;1
SATURDAY ;2;0;7;1
FRIDAY   ;8;2;6;1
WEDNESDAY;1;51;7;1
THURSDAY ;8;21;6;1
SATURDAY ;7;24;6;1
FRIDAY   ;6;2;6;1
SUNDAY   ;7;55;6;1
TUESDAY  ;6;0;7;1
MONDAY   ;8;57;7;1
MONDAY   ;3;7;6;1
WEDNESDAY;7;1;6;1
SATURDAY ;6;10;7;1
SUNDAY   ;10;29;7;1
WEDNESDAY;3;1;7;1
FRIDAY   ;2;0;7;1
SATURDAY ;12;50;7;1
MONDAY   ;9;7;7;1
TUESDAY  ;8;11;6;1
FRIDAY   ;11;45;6;1
WEDNESDAY;6;56;7;1
FRIDAY   ;4;17;6;1
THURSDAY ;1;7;7;1
TUESDAY  ;1;5;7;1
THURSDAY ;10;8;7;1
SUNDAY   ;8;8;7;1
FRIDAY   ;7;73;6;1
MONDAY   ;3;2;7;1
THURSDAY ;10;7;6;1
THURSDAY ;8;62;6;1
THURSDAY ;7;2;13;1
SUNDAY   ;1;0;7;1
TUESDAY  ;5;7;6;1
TUESDAY  ;4;50;7;1
WEDNESDAY;6;8;7;1
MONDAY   ;5;7;7;1
FRIDAY   ;7;17;7;1
FRIDAY   ;3;17;7;1
FRIDAY   ;8;0;6;1
MONDAY   ;1;0;7;1
