;adults;children;leaddays;lengthofstay;arrivaldateweekday;channel;language;currency;cluster
67;1;0;0;1;sunday;mobileweb;es-es;others;Transient
68;1;0;0;1;sunday;mobileweb;others;usd;Transient
69;1;0;0;1;sunday;mobileweb;others;eur;Transient
70;1;0;0;1;sunday;mobileweb;others;gbp;Transient
71;1;0;0;1;sunday;mobileweb;others;others;Transient
72;1;0;0;1;sunday;gds;en-us;usd;Transient
73;1;0;0;1;sunday;gds;en-us;eur;Transient
74;1;0;0;1;sunday;gds;en-us;gbp;Transient
75;1;0;0;1;sunday;gds;en-us;others;Transient
76;1;0;0;1;sunday;gds;fr-fr;usd;Transient
77;1;0;0;1;sunday;gds;fr-fr;eur;Transient
78;1;0;0;1;sunday;gds;fr-fr;gbp;Transient
79;1;0;0;1;sunday;gds;fr-fr;others;Transient
80;1;0;0;1;sunday;gds;de-de;usd;Transient
81;1;0;0;1;sunday;gds;de-de;eur;Transient
82;1;0;0;1;sunday;gds;de-de;gbp;Transient
83;1;0;0;1;sunday;gds;de-de;others;Transient
84;1;0;0;1;sunday;gds;it-it;usd;Transient
85;1;0;0;1;sunday;gds;it-it;eur;Transient
86;1;0;0;1;sunday;gds;it-it;gbp;Transient
87;1;0;0;1;sunday;gds;it-it;others;Transient
88;1;0;0;1;sunday;gds;es-es;usd;Transient
89;1;0;0;1;sunday;gds;es-es;eur;Transient
90;1;0;0;1;sunday;gds;es-es;gbp;Transient
91;1;0;0;1;sunday;gds;es-es;others;Transient
92;1;0;0;1;sunday;gds;others;usd;Transient
93;1;0;0;1;sunday;gds;others;eur;Transient
94;1;0;0;1;sunday;gds;others;gbp;Transient
95;1;0;0;1;sunday;gds;others;others;Transient
96;1;0;0;1;sunday;others;en-us;usd;Transient
97;1;0;0;1;sunday;others;en-us;eur;Transient
98;1;0;0;1;sunday;others;en-us;gbp;Transient
99;1;0;0;1;sunday;others;en-us;others;Transient
100;1;0;0;1;sunday;others;fr-fr;usd;Transient
101;1;0;0;1;sunday;others;fr-fr;eur;Transient
102;1;0;0;1;sunday;others;fr-fr;gbp;Transient
103;1;0;0;1;sunday;others;fr-fr;others;Transient
104;1;0;0;1;sunday;others;de-de;usd;Transient
105;1;0;0;1;sunday;others;de-de;eur;Transient
106;1;0;0;1;sunday;others;de-de;gbp;Transient
107;1;0;0;1;sunday;others;de-de;others;Transient
108;1;0;0;1;sunday;others;it-it;usd;Transient
109;1;0;0;1;sunday;others;it-it;eur;Transient
110;1;0;0;1;sunday;others;it-it;gbp;Transient
111;1;0;0;1;sunday;others;it-it;others;Transient
112;1;0;0;1;sunday;others;es-es;usd;Transient
113;1;0;0;1;sunday;others;es-es;eur;Transient
114;1;0;0;1;sunday;others;es-es;gbp;Transient
115;1;0;0;1;sunday;others;es-es;others;Transient
116;1;0;0;1;sunday;others;others;usd;Transient
117;1;0;0;1;sunday;others;others;eur;Transient
118;1;0;0;1;sunday;others;others;gbp;Transient
119;1;0;0;1;sunday;others;others;others;Transient
120;1;0;0;1;monday;web;en-us;usd;Transient
121;1;0;0;1;monday;web;en-us;eur;Transient
122;1;0;0;1;monday;web;en-us;gbp;Transient
123;1;0;0;1;monday;web;en-us;others;Transient
124;1;0;0;1;monday;web;fr-fr;usd;Transient
125;1;0;0;1;monday;web;fr-fr;eur;Transient
126;1;0;0;1;monday;web;fr-fr;gbp;Transient
127;1;0;0;1;monday;web;fr-fr;others;Transient
128;1;0;0;1;monday;web;de-de;usd;Transient
129;1;0;0;1;monday;web;de-de;eur;Transient
130;1;0;0;1;monday;web;de-de;gbp;Transient
131;1;0;0;1;monday;web;de-de;others;Transient
132;1;0;0;1;monday;web;it-it;usd;Transient
133;1;0;0;1;monday;web;it-it;eur;Transient
134;1;0;0;1;monday;web;it-it;gbp;Transient
135;1;0;0;1;monday;web;it-it;others;Transient
136;1;0;0;1;monday;web;es-es;usd;Transient
137;1;0;0;1;monday;web;es-es;eur;Transient
138;1;0;0;1;monday;web;es-es;gbp;Transient
139;1;0;0;1;monday;web;es-es;others;Transient
140;1;0;0;1;monday;web;others;usd;Transient
141;1;0;0;1;monday;web;others;eur;Transient
142;1;0;0;1;monday;web;others;gbp;Transient
143;1;0;0;1;monday;web;others;others;Transient
144;1;0;0;1;monday;sbe;en-us;usd;Transient
145;1;0;0;1;monday;sbe;en-us;eur;Transient
146;1;0;0;1;monday;sbe;en-us;gbp;Transient
147;1;0;0;1;monday;sbe;en-us;others;Transient
148;1;0;0;1;monday;sbe;fr-fr;usd;Transient
149;1;0;0;1;monday;sbe;fr-fr;eur;Transient
150;1;0;0;1;monday;sbe;fr-fr;gbp;Transient
151;1;0;0;1;monday;sbe;fr-fr;others;Transient
152;1;0;0;1;monday;sbe;de-de;usd;Transient
153;1;0;0;1;monday;sbe;de-de;eur;Transient
154;1;0;0;1;monday;sbe;de-de;gbp;Transient
155;1;0;0;1;monday;sbe;de-de;others;Transient
156;1;0;0;1;monday;sbe;it-it;usd;Transient
157;1;0;0;1;monday;sbe;it-it;eur;Transient
158;1;0;0;1;monday;sbe;it-it;gbp;Transient
159;1;0;0;1;monday;sbe;it-it;others;Transient
160;1;0;0;1;monday;sbe;es-es;usd;Transient
161;1;0;0;1;monday;sbe;es-es;eur;Transient
162;1;0;0;1;monday;sbe;es-es;gbp;Transient
163;1;0;0;1;monday;sbe;es-es;others;Transient
164;1;0;0;1;monday;sbe;others;usd;Transient
165;1;0;0;1;monday;sbe;others;eur;Transient
166;1;0;0;1;monday;sbe;others;gbp;Transient
167;1;0;0;1;monday;sbe;others;others;Transient
168;1;0;0;1;monday;mobileweb;en-us;usd;Transient
169;1;0;0;1;monday;mobileweb;en-us;eur;Transient
170;1;0;0;1;monday;mobileweb;en-us;gbp;Transient
171;1;0;0;1;monday;mobileweb;en-us;others;Transient
172;1;0;0;1;monday;mobileweb;fr-fr;usd;Transient
173;1;0;0;1;monday;mobileweb;fr-fr;eur;Transient
174;1;0;0;1;monday;mobileweb;fr-fr;gbp;Transient
175;1;0;0;1;monday;mobileweb;fr-fr;others;Transient
176;1;0;0;1;monday;mobileweb;de-de;usd;Transient
177;1;0;0;1;monday;mobileweb;de-de;eur;Transient
178;1;0;0;1;monday;mobileweb;de-de;gbp;Transient
179;1;0;0;1;monday;mobileweb;de-de;others;Transient
180;1;0;0;1;monday;mobileweb;it-it;usd;Transient
181;1;0;0;1;monday;mobileweb;it-it;eur;Transient
182;1;0;0;1;monday;mobileweb;it-it;gbp;Transient
183;1;0;0;1;monday;mobileweb;it-it;others;Transient
184;1;0;0;1;monday;mobileweb;es-es;usd;Transient
185;1;0;0;1;monday;mobileweb;es-es;eur;Transient
186;1;0;0;1;monday;mobileweb;es-es;gbp;Transient
187;1;0;0;1;monday;mobileweb;es-es;others;Transient
188;1;0;0;1;monday;mobileweb;others;usd;Transient
189;1;0;0;1;monday;mobileweb;others;eur;Transient
190;1;0;0;1;monday;mobileweb;others;gbp;Transient
191;1;0;0;1;monday;mobileweb;others;others;Transient
192;1;0;0;1;monday;gds;en-us;usd;Transient
193;1;0;0;1;monday;gds;en-us;eur;Transient
194;1;0;0;1;monday;gds;en-us;gbp;Transient
195;1;0;0;1;monday;gds;en-us;others;Transient
196;1;0;0;1;monday;gds;fr-fr;usd;Transient
197;1;0;0;1;monday;gds;fr-fr;eur;Transient
198;1;0;0;1;monday;gds;fr-fr;gbp;Transient
199;1;0;0;1;monday;gds;fr-fr;others;Transient
200;1;0;0;1;monday;gds;de-de;usd;Transient
201;1;0;0;1;monday;gds;de-de;eur;Transient
202;1;0;0;1;monday;gds;de-de;gbp;Transient
203;1;0;0;1;monday;gds;de-de;others;Transient
204;1;0;0;1;monday;gds;it-it;usd;Transient
205;1;0;0;1;monday;gds;it-it;eur;Transient
206;1;0;0;1;monday;gds;it-it;gbp;Transient
207;1;0;0;1;monday;gds;it-it;others;Transient
208;1;0;0;1;monday;gds;es-es;usd;Transient
209;1;0;0;1;monday;gds;es-es;eur;Transient
210;1;0;0;1;monday;gds;es-es;gbp;Transient
211;1;0;0;1;monday;gds;es-es;others;Transient
212;1;0;0;1;monday;gds;others;usd;Transient
213;1;0;0;1;monday;gds;others;eur;Transient
214;1;0;0;1;monday;gds;others;gbp;Transient
215;1;0;0;1;monday;gds;others;others;Transient
216;1;0;0;1;monday;others;en-us;usd;Transient
217;1;0;0;1;monday;others;en-us;eur;Transient
218;1;0;0;1;monday;others;en-us;gbp;Transient
219;1;0;0;1;monday;others;en-us;others;Transient
220;1;0;0;1;monday;others;fr-fr;usd;Transient
221;1;0;0;1;monday;others;fr-fr;eur;Transient
222;1;0;0;1;monday;others;fr-fr;gbp;Transient
223;1;0;0;1;monday;others;fr-fr;others;Transient
224;1;0;0;1;monday;others;de-de;usd;Transient
225;1;0;0;1;monday;others;de-de;eur;Transient
226;1;0;0;1;monday;others;de-de;gbp;Transient
227;1;0;0;1;monday;others;de-de;others;Transient
228;1;0;0;1;monday;others;it-it;usd;Transient
229;1;0;0;1;monday;others;it-it;eur;Transient
230;1;0;0;1;monday;others;it-it;gbp;Transient
231;1;0;0;1;monday;others;it-it;others;Transient
232;1;0;0;1;monday;others;es-es;usd;Transient
233;1;0;0;1;monday;others;es-es;eur;Transient
234;1;0;0;1;monday;others;es-es;gbp;Transient
235;1;0;0;1;monday;others;es-es;others;Transient
236;1;0;0;1;monday;others;others;usd;Transient
237;1;0;0;1;monday;others;others;eur;Transient
238;1;0;0;1;monday;others;others;gbp;Transient
239;1;0;0;1;monday;others;others;others;Transient
240;1;0;0;1;tuesday;web;en-us;usd;Transient
241;1;0;0;1;tuesday;web;en-us;eur;Transient
242;1;0;0;1;tuesday;web;en-us;gbp;Transient
243;1;0;0;1;tuesday;web;en-us;others;Transient
244;1;0;0;1;tuesday;web;fr-fr;usd;Transient
245;1;0;0;1;tuesday;web;fr-fr;eur;Transient
246;1;0;0;1;tuesday;web;fr-fr;gbp;Transient
247;1;0;0;1;tuesday;web;fr-fr;others;Transient
248;1;0;0;1;tuesday;web;de-de;usd;Transient
249;1;0;0;1;tuesday;web;de-de;eur;Transient
250;1;0;0;1;tuesday;web;de-de;gbp;Transient
251;1;0;0;1;tuesday;web;de-de;others;Transient
252;1;0;0;1;tuesday;web;it-it;usd;Transient
253;1;0;0;1;tuesday;web;it-it;eur;Transient
254;1;0;0;1;tuesday;web;it-it;gbp;Transient
255;1;0;0;1;tuesday;web;it-it;others;Transient
256;1;0;0;1;tuesday;web;es-es;usd;Transient
257;1;0;0;1;tuesday;web;es-es;eur;Transient
258;1;0;0;1;tuesday;web;es-es;gbp;Transient
259;1;0;0;1;tuesday;web;es-es;others;Transient
260;1;0;0;1;tuesday;web;others;usd;Transient
261;1;0;0;1;tuesday;web;others;eur;Transient
262;1;0;0;1;tuesday;web;others;gbp;Transient
263;1;0;0;1;tuesday;web;others;others;Transient
264;1;0;0;1;tuesday;sbe;en-us;usd;Transient
265;1;0;0;1;tuesday;sbe;en-us;eur;Transient
266;1;0;0;1;tuesday;sbe;en-us;gbp;Transient
267;1;0;0;1;tuesday;sbe;en-us;others;Transient
268;1;0;0;1;tuesday;sbe;fr-fr;usd;Transient
269;1;0;0;1;tuesday;sbe;fr-fr;eur;Transient
270;1;0;0;1;tuesday;sbe;fr-fr;gbp;Transient
271;1;0;0;1;tuesday;sbe;fr-fr;others;Transient
272;1;0;0;1;tuesday;sbe;de-de;usd;Transient
273;1;0;0;1;tuesday;sbe;de-de;eur;Transient
274;1;0;0;1;tuesday;sbe;de-de;gbp;Transient
275;1;0;0;1;tuesday;sbe;de-de;others;Transient
276;1;0;0;1;tuesday;sbe;it-it;usd;Transient
277;1;0;0;1;tuesday;sbe;it-it;eur;Transient
278;1;0;0;1;tuesday;sbe;it-it;gbp;Transient
279;1;0;0;1;tuesday;sbe;it-it;others;Transient
280;1;0;0;1;tuesday;sbe;es-es;usd;Transient
281;1;0;0;1;tuesday;sbe;es-es;eur;Transient
282;1;0;0;1;tuesday;sbe;es-es;gbp;Transient
283;1;0;0;1;tuesday;sbe;es-es;others;Transient
284;1;0;0;1;tuesday;sbe;others;usd;Transient
285;1;0;0;1;tuesday;sbe;others;eur;Transient
286;1;0;0;1;tuesday;sbe;others;gbp;Transient
287;1;0;0;1;tuesday;sbe;others;others;Transient
288;1;0;0;1;tuesday;mobileweb;en-us;usd;Transient
289;1;0;0;1;tuesday;mobileweb;en-us;eur;Transient
290;1;0;0;1;tuesday;mobileweb;en-us;gbp;Transient
291;1;0;0;1;tuesday;mobileweb;en-us;others;Transient
292;1;0;0;1;tuesday;mobileweb;fr-fr;usd;Transient
293;1;0;0;1;tuesday;mobileweb;fr-fr;eur;Transient
294;1;0;0;1;tuesday;mobileweb;fr-fr;gbp;Transient
295;1;0;0;1;tuesday;mobileweb;fr-fr;others;Transient
296;1;0;0;1;tuesday;mobileweb;de-de;usd;Transient
297;1;0;0;1;tuesday;mobileweb;de-de;eur;Transient
298;1;0;0;1;tuesday;mobileweb;de-de;gbp;Transient
299;1;0;0;1;tuesday;mobileweb;de-de;others;Transient
300;1;0;0;1;tuesday;mobileweb;it-it;usd;Transient
301;1;0;0;1;tuesday;mobileweb;it-it;eur;Transient
302;1;0;0;1;tuesday;mobileweb;it-it;gbp;Transient
303;1;0;0;1;tuesday;mobileweb;it-it;others;Transient
304;1;0;0;1;tuesday;mobileweb;es-es;usd;Transient
305;1;0;0;1;tuesday;mobileweb;es-es;eur;Transient
306;1;0;0;1;tuesday;mobileweb;es-es;gbp;Transient
307;1;0;0;1;tuesday;mobileweb;es-es;others;Transient
308;1;0;0;1;tuesday;mobileweb;others;usd;Transient
309;1;0;0;1;tuesday;mobileweb;others;eur;Transient
310;1;0;0;1;tuesday;mobileweb;others;gbp;Transient
311;1;0;0;1;tuesday;mobileweb;others;others;Transient
312;1;0;0;1;tuesday;gds;en-us;usd;Transient
313;1;0;0;1;tuesday;gds;en-us;eur;Transient
314;1;0;0;1;tuesday;gds;en-us;gbp;Transient
315;1;0;0;1;tuesday;gds;en-us;others;Transient
316;1;0;0;1;tuesday;gds;fr-fr;usd;Transient
317;1;0;0;1;tuesday;gds;fr-fr;eur;Transient
318;1;0;0;1;tuesday;gds;fr-fr;gbp;Transient
319;1;0;0;1;tuesday;gds;fr-fr;others;Transient
320;1;0;0;1;tuesday;gds;de-de;usd;Transient
321;1;0;0;1;tuesday;gds;de-de;eur;Transient
322;1;0;0;1;tuesday;gds;de-de;gbp;Transient
323;1;0;0;1;tuesday;gds;de-de;others;Transient
324;1;0;0;1;tuesday;gds;it-it;usd;Transient
325;1;0;0;1;tuesday;gds;it-it;eur;Transient
326;1;0;0;1;tuesday;gds;it-it;gbp;Transient
327;1;0;0;1;tuesday;gds;it-it;others;Transient
328;1;0;0;1;tuesday;gds;es-es;usd;Transient
329;1;0;0;1;tuesday;gds;es-es;eur;Transient
330;1;0;0;1;tuesday;gds;es-es;gbp;Transient
331;1;0;0;1;tuesday;gds;es-es;others;Transient
332;1;0;0;1;tuesday;gds;others;usd;Transient
333;1;0;0;1;tuesday;gds;others;eur;Transient
334;1;0;0;1;tuesday;gds;others;gbp;Transient
335;1;0;0;1;tuesday;gds;others;others;Transient
336;1;0;0;1;tuesday;others;en-us;usd;Transient
337;1;0;0;1;tuesday;others;en-us;eur;Transient
338;1;0;0;1;tuesday;others;en-us;gbp;Transient
339;1;0;0;1;tuesday;others;en-us;others;Transient
340;1;0;0;1;tuesday;others;fr-fr;usd;Transient
341;1;0;0;1;tuesday;others;fr-fr;eur;Transient
342;1;0;0;1;tuesday;others;fr-fr;gbp;Transient
343;1;0;0;1;tuesday;others;fr-fr;others;Transient
344;1;0;0;1;tuesday;others;de-de;usd;Transient
345;1;0;0;1;tuesday;others;de-de;eur;Transient
346;1;0;0;1;tuesday;others;de-de;gbp;Transient
347;1;0;0;1;tuesday;others;de-de;others;Transient
348;1;0;0;1;tuesday;others;it-it;usd;Transient
349;1;0;0;1;tuesday;others;it-it;eur;Transient
350;1;0;0;1;tuesday;others;it-it;gbp;Transient
351;1;0;0;1;tuesday;others;it-it;others;Transient
352;1;0;0;1;tuesday;others;es-es;usd;Transient
353;1;0;0;1;tuesday;others;es-es;eur;Transient
354;1;0;0;1;tuesday;others;es-es;gbp;Transient
355;1;0;0;1;tuesday;others;es-es;others;Transient
356;1;0;0;1;tuesday;others;others;usd;Transient
357;1;0;0;1;tuesday;others;others;eur;Transient
358;1;0;0;1;tuesday;others;others;gbp;Transient
359;1;0;0;1;tuesday;others;others;others;Transient
360;1;0;0;1;wednesday;web;en-us;usd;Transient
361;1;0;0;1;wednesday;web;en-us;eur;Transient
362;1;0;0;1;wednesday;web;en-us;gbp;Transient
363;1;0;0;1;wednesday;web;en-us;others;Transient
364;1;0;0;1;wednesday;web;fr-fr;usd;Transient
365;1;0;0;1;wednesday;web;fr-fr;eur;Transient
366;1;0;0;1;wednesday;web;fr-fr;gbp;Transient
367;1;0;0;1;wednesday;web;fr-fr;others;Transient
368;1;0;0;1;wednesday;web;de-de;usd;Transient
369;1;0;0;1;wednesday;web;de-de;eur;Transient
370;1;0;0;1;wednesday;web;de-de;gbp;Transient
371;1;0;0;1;wednesday;web;de-de;others;Transient
372;1;0;0;1;wednesday;web;it-it;usd;Transient
373;1;0;0;1;wednesday;web;it-it;eur;Transient
374;1;0;0;1;wednesday;web;it-it;gbp;Transient
375;1;0;0;1;wednesday;web;it-it;others;Transient
376;1;0;0;1;wednesday;web;es-es;usd;Transient
377;1;0;0;1;wednesday;web;es-es;eur;Transient
378;1;0;0;1;wednesday;web;es-es;gbp;Transient
379;1;0;0;1;wednesday;web;es-es;others;Transient
380;1;0;0;1;wednesday;web;others;usd;Transient
381;1;0;0;1;wednesday;web;others;eur;Transient
382;1;0;0;1;wednesday;web;others;gbp;Transient
383;1;0;0;1;wednesday;web;others;others;Transient
384;1;0;0;1;wednesday;sbe;en-us;usd;Transient
385;1;0;0;1;wednesday;sbe;en-us;eur;Transient
386;1;0;0;1;wednesday;sbe;en-us;gbp;Transient
387;1;0;0;1;wednesday;sbe;en-us;others;Transient
388;1;0;0;1;wednesday;sbe;fr-fr;usd;Transient
389;1;0;0;1;wednesday;sbe;fr-fr;eur;Transient
390;1;0;0;1;wednesday;sbe;fr-fr;gbp;Transient
391;1;0;0;1;wednesday;sbe;fr-fr;others;Transient
392;1;0;0;1;wednesday;sbe;de-de;usd;Transient
393;1;0;0;1;wednesday;sbe;de-de;eur;Transient
394;1;0;0;1;wednesday;sbe;de-de;gbp;Transient
395;1;0;0;1;wednesday;sbe;de-de;others;Transient
396;1;0;0;1;wednesday;sbe;it-it;usd;Transient
397;1;0;0;1;wednesday;sbe;it-it;eur;Transient
398;1;0;0;1;wednesday;sbe;it-it;gbp;Transient
399;1;0;0;1;wednesday;sbe;it-it;others;Transient
400;1;0;0;1;wednesday;sbe;es-es;usd;Transient
401;1;0;0;1;wednesday;sbe;es-es;eur;Transient
402;1;0;0;1;wednesday;sbe;es-es;gbp;Transient
403;1;0;0;1;wednesday;sbe;es-es;others;Transient
404;1;0;0;1;wednesday;sbe;others;usd;Transient
405;1;0;0;1;wednesday;sbe;others;eur;Transient
406;1;0;0;1;wednesday;sbe;others;gbp;Transient
407;1;0;0;1;wednesday;sbe;others;others;Transient
408;1;0;0;1;wednesday;mobileweb;en-us;usd;Transient
409;1;0;0;1;wednesday;mobileweb;en-us;eur;Transient
410;1;0;0;1;wednesday;mobileweb;en-us;gbp;Transient
411;1;0;0;1;wednesday;mobileweb;en-us;others;Transient
412;1;0;0;1;wednesday;mobileweb;fr-fr;usd;Transient
413;1;0;0;1;wednesday;mobileweb;fr-fr;eur;Transient
414;1;0;0;1;wednesday;mobileweb;fr-fr;gbp;Transient
415;1;0;0;1;wednesday;mobileweb;fr-fr;others;Transient
416;1;0;0;1;wednesday;mobileweb;de-de;usd;Transient
417;1;0;0;1;wednesday;mobileweb;de-de;eur;Transient
418;1;0;0;1;wednesday;mobileweb;de-de;gbp;Transient
419;1;0;0;1;wednesday;mobileweb;de-de;others;Transient
420;1;0;0;1;wednesday;mobileweb;it-it;usd;Transient
421;1;0;0;1;wednesday;mobileweb;it-it;eur;Transient
422;1;0;0;1;wednesday;mobileweb;it-it;gbp;Transient
423;1;0;0;1;wednesday;mobileweb;it-it;others;Transient
424;1;0;0;1;wednesday;mobileweb;es-es;usd;Transient
425;1;0;0;1;wednesday;mobileweb;es-es;eur;Transient
426;1;0;0;1;wednesday;mobileweb;es-es;gbp;Transient
427;1;0;0;1;wednesday;mobileweb;es-es;others;Transient
428;1;0;0;1;wednesday;mobileweb;others;usd;Transient
429;1;0;0;1;wednesday;mobileweb;others;eur;Transient
430;1;0;0;1;wednesday;mobileweb;others;gbp;Transient
431;1;0;0;1;wednesday;mobileweb;others;others;Transient
432;1;0;0;1;wednesday;gds;en-us;usd;Transient
433;1;0;0;1;wednesday;gds;en-us;eur;Transient
434;1;0;0;1;wednesday;gds;en-us;gbp;Transient
435;1;0;0;1;wednesday;gds;en-us;others;Transient
436;1;0;0;1;wednesday;gds;fr-fr;usd;Transient
437;1;0;0;1;wednesday;gds;fr-fr;eur;Transient
438;1;0;0;1;wednesday;gds;fr-fr;gbp;Transient
439;1;0;0;1;wednesday;gds;fr-fr;others;Transient
440;1;0;0;1;wednesday;gds;de-de;usd;Transient
441;1;0;0;1;wednesday;gds;de-de;eur;Transient
442;1;0;0;1;wednesday;gds;de-de;gbp;Transient
443;1;0;0;1;wednesday;gds;de-de;others;Transient
444;1;0;0;1;wednesday;gds;it-it;usd;Transient
445;1;0;0;1;wednesday;gds;it-it;eur;Transient
446;1;0;0;1;wednesday;gds;it-it;gbp;Transient
447;1;0;0;1;wednesday;gds;it-it;others;Transient
448;1;0;0;1;wednesday;gds;es-es;usd;Transient
449;1;0;0;1;wednesday;gds;es-es;eur;Transient
450;1;0;0;1;wednesday;gds;es-es;gbp;Transient
451;1;0;0;1;wednesday;gds;es-es;others;Transient
452;1;0;0;1;wednesday;gds;others;usd;Transient
453;1;0;0;1;wednesday;gds;others;eur;Transient
454;1;0;0;1;wednesday;gds;others;gbp;Transient
455;1;0;0;1;wednesday;gds;others;others;Transient
456;1;0;0;1;wednesday;others;en-us;usd;Transient
457;1;0;0;1;wednesday;others;en-us;eur;Transient
458;1;0;0;1;wednesday;others;en-us;gbp;Transient
459;1;0;0;1;wednesday;others;en-us;others;Transient
460;1;0;0;1;wednesday;others;fr-fr;usd;Transient
461;1;0;0;1;wednesday;others;fr-fr;eur;Transient
462;1;0;0;1;wednesday;others;fr-fr;gbp;Transient
463;1;0;0;1;wednesday;others;fr-fr;others;Transient
464;1;0;0;1;wednesday;others;de-de;usd;Transient
465;1;0;0;1;wednesday;others;de-de;eur;Transient
466;1;0;0;1;wednesday;others;de-de;gbp;Transient
467;1;0;0;1;wednesday;others;de-de;others;Transient
468;1;0;0;1;wednesday;others;it-it;usd;Transient
469;1;0;0;1;wednesday;others;it-it;eur;Transient
470;1;0;0;1;wednesday;others;it-it;gbp;Transient
471;1;0;0;1;wednesday;others;it-it;others;Transient
472;1;0;0;1;wednesday;others;es-es;usd;Transient
473;1;0;0;1;wednesday;others;es-es;eur;Transient
474;1;0;0;1;wednesday;others;es-es;gbp;Transient
475;1;0;0;1;wednesday;others;es-es;others;Transient
476;1;0;0;1;wednesday;others;others;usd;Transient
477;1;0;0;1;wednesday;others;others;eur;Transient
478;1;0;0;1;wednesday;others;others;gbp;Transient
479;1;0;0;1;wednesday;others;others;others;Transient
480;1;0;0;1;thursday;web;en-us;usd;Transient
481;1;0;0;1;thursday;web;en-us;eur;Transient
482;1;0;0;1;thursday;web;en-us;gbp;Transient
483;1;0;0;1;thursday;web;en-us;others;Transient
484;1;0;0;1;thursday;web;fr-fr;usd;Transient
485;1;0;0;1;thursday;web;fr-fr;eur;Transient
