ArrivalDate-Weekday;Arrival-Month;channel-id;LeadDays;lang-id;nights-qty;room-qty;adult-qty;child-qty;infant-qty
SATURDAY ;6;6;2;1;1;1;2;0;0
SUNDAY   ;8;7;0;1;1;1;3;0;0
WEDNESDAY;9;7;0;1;1;1;1;0;0
MONDAY   ;1;7;10;1;1;1;1;0;0
WEDNESDAY;1;7;7;1;2;1;1;0;0
FRIDAY   ;9;7;9;1;3;1;1;0;0
MONDAY   ;3;6;7;1;2;1;2;0;0
SUNDAY   ;6;7;48;1;2;1;1;0;0
SUNDAY   ;2;7;3;1;5;1;2;0;0
THURSDAY ;5;6;32;1;5;1;2;0;0
MONDAY   ;7;6;29;1;3;1;2;0;0
THURSDAY ;9;7;8;1;6;1;1;0;0
TUESDAY  ;4;7;7;1;5;1;1;0;0
WEDNESDAY;9;7;15;1;1;1;2;0;0
SATURDAY ;4;7;2;1;1;1;1;0;0
SATURDAY ;2;6;0;1;1;1;2;0;0
SATURDAY ;9;6;24;1;3;1;3;0;0
THURSDAY ;7;7;1;1;3;1;2;0;0
FRIDAY   ;6;6;60;1;2;1;1;0;0
SUNDAY   ;8;6;2;1;1;1;1;0;0
TUESDAY  ;5;7;8;1;4;1;1;0;0
TUESDAY  ;3;7;18;1;2;1;1;0;0
SUNDAY   ;2;7;3;1;1;1;1;0;0
WEDNESDAY;4;7;1;1;1;1;3;0;0
TUESDAY  ;10;6;1;1;1;1;2;0;0
SUNDAY   ;4;13;34;1;2;1;1;0;0
THURSDAY ;1;7;4;1;4;1;1;0;0
MONDAY   ;3;7;68;1;4;1;2;0;0
THURSDAY ;4;7;22;1;4;1;2;0;0
WEDNESDAY;1;7;1;1;3;1;2;0;0
SUNDAY   ;1;7;9;1;3;1;1;0;0
WEDNESDAY;5;6;5;1;2;1;1;1;0
WEDNESDAY;2;6;3;1;2;1;1;0;0
TUESDAY  ;7;6;6;1;2;1;2;0;0
SUNDAY   ;4;7;0;1;2;1;2;0;0
THURSDAY ;8;6;82;1;3;1;2;0;0
TUESDAY  ;3;13;8;1;1;1;1;0;0
SATURDAY ;6;7;1;1;2;1;2;0;0
SUNDAY   ;2;6;44;1;2;1;2;0;0
TUESDAY  ;1;7;43;1;5;1;1;0;0
WEDNESDAY;9;7;7;1;9;1;1;0;0
WEDNESDAY;6;13;28;1;1;1;1;0;0
SUNDAY   ;7;7;16;1;6;1;2;0;0
WEDNESDAY;8;6;10;1;1;1;2;0;0
MONDAY   ;2;6;3;1;1;1;1;0;0
WEDNESDAY;4;7;15;1;4;1;1;0;0
MONDAY   ;1;7;4;1;1;1;1;0;0
THURSDAY ;5;6;6;1;1;1;1;0;0
THURSDAY ;3;6;10;1;1;1;2;0;0
FRIDAY   ;8;6;1;1;2;1;2;0;0
SATURDAY ;4;7;0;1;1;1;1;0;0
THURSDAY ;8;7;21;1;2;1;2;0;0
WEDNESDAY;5;7;47;1;4;1;2;0;0
THURSDAY ;4;7;0;1;2;1;1;2;0
FRIDAY   ;9;6;7;1;2;1;2;0;0
TUESDAY  ;2;7;21;1;5;1;2;0;0
MONDAY   ;1;7;10;1;1;1;1;0;0
TUESDAY  ;1;7;62;1;1;1;2;0;0
FRIDAY   ;7;7;3;1;7;1;2;0;0
THURSDAY ;3;7;10;1;3;1;2;0;0
THURSDAY ;9;7;2;1;4;1;1;0;0
THURSDAY ;9;7;21;1;3;1;2;0;0
WEDNESDAY;4;7;15;1;4;1;1;0;0
MONDAY   ;7;6;6;1;1;1;1;0;0
SATURDAY ;6;7;18;1;1;1;2;0;0
FRIDAY   ;8;7;44;1;6;1;3;0;0
WEDNESDAY;1;7;3;1;1;1;1;0;0
SUNDAY   ;5;7;2;1;4;1;1;0;0
MONDAY   ;7;6;110;1;1;1;3;0;0
FRIDAY   ;4;7;0;1;1;1;1;0;0
THURSDAY ;8;6;27;1;3;1;2;0;0
MONDAY   ;10;7;11;1;1;1;1;0;0
WEDNESDAY;5;7;7;1;5;1;2;0;0
TUESDAY  ;4;7;14;1;5;1;1;0;0
FRIDAY   ;10;7;0;1;1;1;1;0;0
THURSDAY ;6;6;12;1;1;1;1;0;0
MONDAY   ;9;6;7;1;1;1;1;0;0
TUESDAY  ;9;6;7;1;2;1;2;0;0
WEDNESDAY;7;7;126;1;9;1;2;0;0
MONDAY   ;5;7;60;1;3;1;2;0;0
MONDAY   ;6;6;10;1;1;1;2;0;0
SATURDAY ;9;6;157;1;3;1;2;0;0
SATURDAY ;6;7;18;1;1;1;2;0;0
THURSDAY ;1;7;21;1;2;1;3;0;0
SUNDAY   ;7;7;4;1;3;1;2;0;0
TUESDAY  ;5;6;2;1;3;1;2;0;0
SATURDAY ;5;6;1;1;1;1;2;0;0
THURSDAY ;5;7;22;1;1;1;1;0;0
FRIDAY   ;2;7;0;1;2;1;1;0;0
FRIDAY   ;6;7;10;1;3;1;1;0;0
TUESDAY  ;9;7;21;1;2;1;1;0;0
WEDNESDAY;1;7;13;1;4;1;1;0;0
WEDNESDAY;10;6;21;1;2;1;2;0;0
SUNDAY   ;9;7;2;1;3;1;1;0;0
FRIDAY   ;6;6;5;1;2;1;2;0;0
WEDNESDAY;7;7;9;1;4;1;1;0;0
TUESDAY  ;5;13;1;1;1;1;1;0;0
SUNDAY   ;5;6;82;1;3;1;2;0;0
WEDNESDAY;4;7;1;1;1;1;1;0;0
SATURDAY ;8;6;27;1;3;1;2;0;0
SATURDAY ;8;6;68;1;7;1;2;0;0
SATURDAY ;9;6;157;1;3;1;2;0;0
WEDNESDAY;8;13;12;1;1;1;1;0;0
TUESDAY  ;9;7;35;1;1;1;3;0;0
TUESDAY  ;4;7;3;1;4;1;2;0;0
FRIDAY   ;6;6;16;1;2;1;2;0;0
SUNDAY   ;4;6;18;1;1;1;2;0;0
SATURDAY ;3;6;0;1;1;1;2;0;0
SUNDAY   ;2;13;22;1;5;1;1;0;0
MONDAY   ;4;6;2;1;1;1;1;0;0
THURSDAY ;3;7;13;1;1;1;1;0;0
SUNDAY   ;10;7;45;1;3;1;1;0;0
SUNDAY   ;3;7;1;1;4;1;1;0;0
TUESDAY  ;7;7;1;1;2;1;1;0;0
MONDAY   ;9;7;23;1;4;1;2;0;0
WEDNESDAY;9;7;23;1;3;1;2;0;0
FRIDAY   ;5;7;4;1;3;1;1;0;0
MONDAY   ;7;6;34;1;7;1;1;0;0
SUNDAY   ;8;7;2;1;2;1;1;0;0
FRIDAY   ;2;7;14;1;3;1;2;0;0
WEDNESDAY;4;7;8;1;4;1;1;0;0
FRIDAY   ;6;6;4;1;1;1;2;0;0
FRIDAY   ;9;6;200;1;2;1;2;0;0
SATURDAY ;4;7;9;1;4;1;3;0;0
MONDAY   ;9;7;73;1;2;1;2;0;0
SATURDAY ;4;7;8;1;2;1;2;0;0
TUESDAY  ;11;7;4;1;1;1;1;0;0
THURSDAY ;6;7;10;1;2;1;3;0;0
THURSDAY ;7;7;29;1;2;1;1;0;0
SUNDAY   ;1;7;0;1;1;1;1;0;0
SATURDAY ;9;6;5;1;1;1;2;0;0
FRIDAY   ;9;7;10;1;1;1;1;0;0
FRIDAY   ;9;7;16;1;1;1;1;0;0
TUESDAY  ;12;7;81;1;3;1;1;0;0
THURSDAY ;3;6;64;1;3;1;2;0;0
SUNDAY   ;12;6;110;1;3;1;3;0;0
SATURDAY ;5;1;102;1;1;1;2;0;0
TUESDAY  ;10;7;17;1;6;1;2;0;0
THURSDAY ;3;7;9;1;5;1;1;0;0
SUNDAY   ;3;7;12;1;1;1;1;0;0
FRIDAY   ;9;13;28;1;1;1;1;0;0
SUNDAY   ;8;7;20;1;3;1;2;0;0
SATURDAY ;1;7;1;1;4;1;1;0;0
FRIDAY   ;7;7;0;1;1;1;1;0;0
WEDNESDAY;7;7;5;1;8;1;2;0;0
FRIDAY   ;1;7;3;1;1;1;1;0;0
WEDNESDAY;1;7;6;1;3;1;2;0;0
FRIDAY   ;4;6;33;1;4;1;2;0;0
WEDNESDAY;7;7;21;1;5;1;2;1;0
MONDAY   ;4;6;39;1;2;1;2;0;0
SUNDAY   ;10;7;29;1;6;1;1;0;0
SUNDAY   ;5;13;20;1;1;1;1;0;0
SUNDAY   ;4;7;1;1;2;1;1;0;0
SUNDAY   ;6;7;0;1;1;1;2;0;0
TUESDAY  ;4;13;27;1;1;1;1;0;0
SATURDAY ;8;6;27;1;7;1;1;0;0
TUESDAY  ;2;7;14;1;3;1;1;0;0
SUNDAY   ;8;7;37;1;4;1;2;0;0
FRIDAY   ;7;7;224;1;3;1;2;0;0
TUESDAY  ;5;6;41;1;1;1;2;0;0
TUESDAY  ;4;7;12;1;1;1;1;0;0
SUNDAY   ;8;7;13;1;5;1;2;1;0
SATURDAY ;2;6;46;1;4;1;2;0;0
WEDNESDAY;10;7;2;1;1;1;2;0;0
MONDAY   ;2;7;14;1;5;1;1;0;0
TUESDAY  ;4;7;0;1;1;1;1;0;0
WEDNESDAY;8;6;55;1;2;1;2;0;0
TUESDAY  ;4;6;5;1;1;1;2;0;0
SUNDAY   ;9;6;39;1;2;1;2;0;0
SUNDAY   ;9;13;22;1;6;1;1;0;0
THURSDAY ;10;6;1;1;1;1;2;0;0
SUNDAY   ;7;6;26;1;1;1;2;0;0
MONDAY   ;5;6;1;1;1;1;2;0;0
WEDNESDAY;7;6;112;1;3;1;2;0;0
FRIDAY   ;10;7;80;1;3;1;1;0;0
FRIDAY   ;4;7;0;1;1;1;1;0;0
FRIDAY   ;2;6;8;1;2;1;1;0;0
THURSDAY ;10;6;20;1;1;1;1;0;0
FRIDAY   ;5;6;3;1;1;1;2;0;0
MONDAY   ;10;13;26;1;4;1;1;0;0
FRIDAY   ;7;6;207;1;4;1;2;0;0
SUNDAY   ;8;7;13;1;5;1;2;0;0
SATURDAY ;8;7;11;1;6;1;2;0;0
THURSDAY ;10;7;8;1;2;1;1;0;0
TUESDAY  ;5;7;0;1;1;1;1;0;0
WEDNESDAY;4;7;8;1;4;1;1;0;0
WEDNESDAY;1;7;117;1;1;1;2;0;0
SUNDAY   ;1;7;15;1;3;1;1;0;0
SATURDAY ;2;7;10;1;1;1;1;0;0
WEDNESDAY;8;6;3;1;1;1;2;0;0
SATURDAY ;2;7;25;1;2;1;2;0;0
FRIDAY   ;8;6;0;1;1;1;2;0;0
SUNDAY   ;10;7;20;1;1;1;1;0;0
TUESDAY  ;10;7;12;1;2;1;1;0;0
SUNDAY   ;5;7;23;1;1;1;1;0;0
SATURDAY ;10;6;5;1;1;1;2;0;0
TUESDAY  ;5;7;6;1;1;1;1;0;0
SATURDAY ;7;6;1;1;1;1;2;0;0
TUESDAY  ;1;7;18;1;4;1;2;0;0
SATURDAY ;8;6;52;1;7;1;2;0;0
TUESDAY  ;9;7;6;1;2;1;1;0;0
MONDAY   ;7;6;48;1;3;1;2;0;0
SATURDAY ;4;6;0;1;2;1;1;0;0
TUESDAY  ;9;6;39;1;4;1;2;0;0
TUESDAY  ;2;7;3;1;1;1;1;0;0
WEDNESDAY;4;7;14;1;3;1;1;0;0
TUESDAY  ;3;7;18;1;2;1;1;0;0
TUESDAY  ;7;6;34;1;2;1;1;2;0
MONDAY   ;8;7;20;1;3;1;2;0;0
WEDNESDAY;5;6;27;1;1;1;2;0;0
FRIDAY   ;9;7;9;1;5;1;1;0;0
THURSDAY ;8;7;19;1;9;1;2;0;0
SUNDAY   ;7;7;10;1;6;1;1;0;0
MONDAY   ;10;7;1;1;2;1;1;0;0
SUNDAY   ;8;7;20;1;4;1;3;0;0
MONDAY   ;7;6;58;1;2;1;1;0;0
WEDNESDAY;4;7;49;1;2;1;2;0;0
WEDNESDAY;7;13;1;1;1;1;1;0;0
MONDAY   ;10;3;38;1;6;1;1;0;0
WEDNESDAY;3;6;1;1;1;1;2;0;0
SATURDAY ;6;7;38;1;1;1;2;0;0
TUESDAY  ;2;7;1;1;2;1;1;0;0
SATURDAY ;9;6;31;1;2;1;2;0;0
SUNDAY   ;11;7;61;1;4;1;1;0;0
MONDAY   ;3;6;2;1;2;1;1;0;0
WEDNESDAY;10;7;20;1;3;1;1;0;0
MONDAY   ;1;7;0;1;1;1;1;0;0
THURSDAY ;2;6;3;1;2;1;1;0;0
FRIDAY   ;8;7;44;1;6;1;2;1;0
MONDAY   ;6;7;14;1;4;1;2;0;0
SUNDAY   ;6;7;5;1;6;1;1;0;0
MONDAY   ;6;13;31;1;17;1;2;0;0
SUNDAY   ;7;13;32;1;5;1;1;0;0
WEDNESDAY;6;7;0;1;2;1;2;0;0
SUNDAY   ;9;7;5;1;1;1;1;0;0
TUESDAY  ;4;7;12;1;4;1;2;0;0
THURSDAY ;10;7;13;1;1;1;1;0;0
SATURDAY ;10;13;243;1;1;1;2;0;0
TUESDAY  ;9;6;23;1;1;1;2;0;0
FRIDAY   ;2;6;4;1;2;1;2;0;0
WEDNESDAY;5;7;49;1;3;1;2;0;0
MONDAY   ;4;7;12;1;4;1;1;0;0
THURSDAY ;10;7;37;1;2;1;1;0;0
MONDAY   ;8;6;186;1;4;1;2;0;0
MONDAY   ;2;7;6;1;1;1;1;0;0
SUNDAY   ;2;7;5;1;5;1;1;0;0
THURSDAY ;7;6;42;1;4;1;3;0;0
WEDNESDAY;7;7;11;1;1;1;1;0;0
TUESDAY  ;5;7;15;1;4;1;1;0;0
WEDNESDAY;4;6;1;1;1;1;1;0;0
MONDAY   ;7;6;28;1;5;1;2;0;0
TUESDAY  ;1;7;47;1;1;1;1;0;0
THURSDAY ;9;6;29;1;3;1;1;0;0
FRIDAY   ;7;7;0;1;1;1;2;0;0
TUESDAY  ;4;7;71;1;5;1;1;0;0
THURSDAY ;10;6;2;1;1;1;1;0;0
WEDNESDAY;4;6;1;1;1;1;1;0;0
FRIDAY   ;3;7;0;1;2;1;2;0;0
TUESDAY  ;5;7;8;1;3;1;1;0;0
FRIDAY   ;6;6;5;1;2;1;2;0;0
SATURDAY ;10;6;2;1;1;1;3;0;0
FRIDAY   ;9;7;64;1;3;1;1;0;0
TUESDAY  ;3;13;6;1;1;1;1;0;0
MONDAY   ;7;13;6;1;1;1;1;0;0
FRIDAY   ;6;6;1;1;1;1;2;0;0
FRIDAY   ;6;7;5;1;2;1;2;0;0
SATURDAY ;6;6;57;1;4;1;2;0;0
SUNDAY   ;9;7;13;1;5;1;1;0;0
THURSDAY ;7;6;101;1;1;1;3;0;0
SUNDAY   ;3;6;0;1;1;1;2;0;0
SUNDAY   ;7;6;0;1;2;1;2;0;0
WEDNESDAY;6;6;59;1;5;1;1;0;0
SUNDAY   ;11;7;31;1;5;1;2;0;0
SUNDAY   ;7;7;3;1;5;1;1;0;0
THURSDAY ;3;7;14;1;3;1;2;0;0
THURSDAY ;8;6;12;1;1;1;2;0;0
TUESDAY  ;10;7;19;1;1;1;1;0;0
MONDAY   ;1;7;5;1;1;1;1;0;0
SUNDAY   ;10;7;29;1;6;1;1;0;0
WEDNESDAY;1;7;6;1;3;1;1;0;0
WEDNESDAY;1;7;1;1;8;1;2;0;0
SATURDAY ;1;7;16;1;1;1;1;0;0
MONDAY   ;5;6;70;1;4;1;2;0;0
SATURDAY ;6;7;71;1;1;1;1;0;0
SATURDAY ;11;7;8;1;1;1;1;0;0
THURSDAY ;6;13;8;1;1;1;1;0;0
WEDNESDAY;1;7;34;1;3;1;2;0;0
WEDNESDAY;1;7;6;1;2;1;1;0;0
FRIDAY   ;1;7;0;1;1;1;2;0;0
WEDNESDAY;3;6;25;1;4;1;3;0;0
MONDAY   ;6;13;56;1;1;1;1;0;0
SATURDAY ;7;7;94;1;2;1;1;0;0
WEDNESDAY;7;7;7;1;2;1;1;0;0
SUNDAY   ;7;13;18;1;2;1;1;0;0
WEDNESDAY;1;7;0;1;1;1;1;0;0
MONDAY   ;6;7;6;1;1;1;1;0;0
SUNDAY   ;3;7;1;1;1;1;2;0;0
WEDNESDAY;4;7;15;1;3;1;1;0;0
WEDNESDAY;2;7;1;1;1;1;1;0;0
SATURDAY ;8;6;316;1;2;1;2;0;0
THURSDAY ;8;7;0;1;1;1;1;0;0
SUNDAY   ;6;7;10;1;6;1;1;0;0
SUNDAY   ;6;7;3;1;4;1;1;0;0
THURSDAY ;2;7;49;1;3;1;2;0;0
WEDNESDAY;10;7;2;1;1;1;1;0;0
SUNDAY   ;3;7;6;1;3;1;2;0;0
WEDNESDAY;8;6;50;1;4;1;2;0;0
TUESDAY  ;7;6;30;1;5;1;3;0;0
TUESDAY  ;4;7;11;1;5;1;1;0;0
SATURDAY ;4;7;16;1;3;1;2;0;0
THURSDAY ;5;6;1;1;1;1;1;0;0
WEDNESDAY;1;7;12;1;1;1;1;0;0
TUESDAY  ;5;6;8;1;1;1;1;0;0
SATURDAY ;9;7;12;1;6;1;2;0;0
FRIDAY   ;8;7;6;1;3;1;2;0;0
SUNDAY   ;7;6;97;1;3;1;3;0;0
MONDAY   ;5;13;32;1;1;1;1;0;0
MONDAY   ;7;7;73;1;5;1;2;1;0
TUESDAY  ;9;1;41;1;3;1;1;0;0
TUESDAY  ;3;1;8;1;1;1;1;0;0
THURSDAY ;8;1;20;1;2;1;1;0;0
MONDAY   ;7;1;13;1;1;1;2;0;0
MONDAY   ;7;12;25;1;5;1;2;0;0
TUESDAY  ;10;13;11;1;1;1;1;0;0
MONDAY   ;1;6;50;1;6;1;2;0;0
TUESDAY  ;1;6;69;1;4;1;2;0;0
THURSDAY ;1;6;49;1;5;1;1;0;0
WEDNESDAY;1;6;46;1;2;1;2;0;0
MONDAY   ;1;6;58;1;3;1;2;0;0
SATURDAY ;1;6;37;1;5;1;2;0;0
FRIDAY   ;1;6;26;1;2;1;2;0;0
MONDAY   ;1;6;21;1;2;1;2;0;0
TUESDAY  ;1;6;27;1;5;1;1;0;0
FRIDAY   ;1;6;27;1;5;1;2;0;0
SATURDAY ;1;6;14;1;3;1;2;0;0
SUNDAY   ;1;13;23;1;2;1;2;0;0
WEDNESDAY;1;1;20;1;1;1;1;0;0
WEDNESDAY;1;13;13;1;1;1;1;0;0
THURSDAY ;1;13;6;1;1;1;1;0;0
THURSDAY ;1;13;6;1;2;1;1;0;0
SUNDAY   ;2;13;19;1;5;1;1;0;0
MONDAY   ;1;13;5;1;1;1;1;0;0
SATURDAY ;1;13;0;1;3;1;2;0;0
TUESDAY  ;2;12;8;1;1;1;1;0;0
