,adults,children,leaddays,lengthofstay,arrivaldateweekday,channel,language,currency,cluster,Predicted_Cluster
225,1,0,0,1,monday,others,de-de,eur,Transient,transient
226,1,0,0,1,monday,others,de-de,gbp,Transient,transient
227,1,0,0,1,monday,others,de-de,others,Transient,transient
228,1,0,0,1,monday,others,it-it,usd,Transient,transient
229,1,0,0,1,monday,others,it-it,eur,Transient,transient
230,1,0,0,1,monday,others,it-it,gbp,Transient,transient
231,1,0,0,1,monday,others,it-it,others,Transient,transient
232,1,0,0,1,monday,others,es-es,usd,Transient,transient
233,1,0,0,1,monday,others,es-es,eur,Transient,transient
234,1,0,0,1,monday,others,es-es,gbp,Transient,transient
235,1,0,0,1,monday,others,es-es,others,Transient,transient
236,1,0,0,1,monday,others,others,usd,Transient,transient
237,1,0,0,1,monday,others,others,eur,Transient,transient
238,1,0,0,1,monday,others,others,gbp,Transient,transient
239,1,0,0,1,monday,others,others,others,Transient,transient
240,1,0,0,1,tuesday,web,en-us,usd,Transient,transient
241,1,0,0,1,tuesday,web,en-us,eur,Transient,transient
242,1,0,0,1,tuesday,web,en-us,gbp,Transient,transient
243,1,0,0,1,tuesday,web,en-us,others,Transient,transient
244,1,0,0,1,tuesday,web,fr-fr,usd,Transient,transient
245,1,0,0,1,tuesday,web,fr-fr,eur,Transient,transient
246,1,0,0,1,tuesday,web,fr-fr,gbp,Transient,transient
247,1,0,0,1,tuesday,web,fr-fr,others,Transient,transient
248,1,0,0,1,tuesday,web,de-de,usd,Transient,transient
249,1,0,0,1,tuesday,web,de-de,eur,Transient,transient
250,1,0,0,1,tuesday,web,de-de,gbp,Transient,transient
251,1,0,0,1,tuesday,web,de-de,others,Transient,transient
252,1,0,0,1,tuesday,web,it-it,usd,Transient,transient
253,1,0,0,1,tuesday,web,it-it,eur,Transient,transient
254,1,0,0,1,tuesday,web,it-it,gbp,Transient,transient
255,1,0,0,1,tuesday,web,it-it,others,Transient,transient
256,1,0,0,1,tuesday,web,es-es,usd,Transient,transient
257,1,0,0,1,tuesday,web,es-es,eur,Transient,transient
258,1,0,0,1,tuesday,web,es-es,gbp,Transient,transient
259,1,0,0,1,tuesday,web,es-es,others,Transient,transient
260,1,0,0,1,tuesday,web,others,usd,Transient,transient
261,1,0,0,1,tuesday,web,others,eur,Transient,transient
262,1,0,0,1,tuesday,web,others,gbp,Transient,transient
263,1,0,0,1,tuesday,web,others,others,Transient,transient
264,1,0,0,1,tuesday,sbe,en-us,usd,Transient,transient
265,1,0,0,1,tuesday,sbe,en-us,eur,Transient,transient
266,1,0,0,1,tuesday,sbe,en-us,gbp,Transient,transient
267,1,0,0,1,tuesday,sbe,en-us,others,Transient,transient
268,1,0,0,1,tuesday,sbe,fr-fr,usd,Transient,transient
269,1,0,0,1,tuesday,sbe,fr-fr,eur,Transient,transient
270,1,0,0,1,tuesday,sbe,fr-fr,gbp,Transient,transient
271,1,0,0,1,tuesday,sbe,fr-fr,others,Transient,transient
272,1,0,0,1,tuesday,sbe,de-de,usd,Transient,transient
273,1,0,0,1,tuesday,sbe,de-de,eur,Transient,transient
274,1,0,0,1,tuesday,sbe,de-de,gbp,Transient,transient
275,1,0,0,1,tuesday,sbe,de-de,others,Transient,transient
276,1,0,0,1,tuesday,sbe,it-it,usd,Transient,transient
277,1,0,0,1,tuesday,sbe,it-it,eur,Transient,transient
278,1,0,0,1,tuesday,sbe,it-it,gbp,Transient,transient
279,1,0,0,1,tuesday,sbe,it-it,others,Transient,transient
280,1,0,0,1,tuesday,sbe,es-es,usd,Transient,transient
281,1,0,0,1,tuesday,sbe,es-es,eur,Transient,transient
282,1,0,0,1,tuesday,sbe,es-es,gbp,Transient,transient
283,1,0,0,1,tuesday,sbe,es-es,others,Transient,transient
284,1,0,0,1,tuesday,sbe,others,usd,Transient,transient
285,1,0,0,1,tuesday,sbe,others,eur,Transient,transient
286,1,0,0,1,tuesday,sbe,others,gbp,Transient,transient
287,1,0,0,1,tuesday,sbe,others,others,Transient,transient
288,1,0,0,1,tuesday,mobileweb,en-us,usd,Transient,transient
289,1,0,0,1,tuesday,mobileweb,en-us,eur,Transient,transient
290,1,0,0,1,tuesday,mobileweb,en-us,gbp,Transient,transient
291,1,0,0,1,tuesday,mobileweb,en-us,others,Transient,transient
292,1,0,0,1,tuesday,mobileweb,fr-fr,usd,Transient,transient
293,1,0,0,1,tuesday,mobileweb,fr-fr,eur,Transient,transient
294,1,0,0,1,tuesday,mobileweb,fr-fr,gbp,Transient,transient
295,1,0,0,1,tuesday,mobileweb,fr-fr,others,Transient,transient
296,1,0,0,1,tuesday,mobileweb,de-de,usd,Transient,transient
297,1,0,0,1,tuesday,mobileweb,de-de,eur,Transient,transient
298,1,0,0,1,tuesday,mobileweb,de-de,gbp,Transient,transient
299,1,0,0,1,tuesday,mobileweb,de-de,others,Transient,transient
300,1,0,0,1,tuesday,mobileweb,it-it,usd,Transient,transient
301,1,0,0,1,tuesday,mobileweb,it-it,eur,Transient,transient
302,1,0,0,1,tuesday,mobileweb,it-it,gbp,Transient,transient
303,1,0,0,1,tuesday,mobileweb,it-it,others,Transient,transient
304,1,0,0,1,tuesday,mobileweb,es-es,usd,Transient,transient
305,1,0,0,1,tuesday,mobileweb,es-es,eur,Transient,transient
306,1,0,0,1,tuesday,mobileweb,es-es,gbp,Transient,transient
307,1,0,0,1,tuesday,mobileweb,es-es,others,Transient,transient
308,1,0,0,1,tuesday,mobileweb,others,usd,Transient,transient
309,1,0,0,1,tuesday,mobileweb,others,eur,Transient,transient
310,1,0,0,1,tuesday,mobileweb,others,gbp,Transient,transient
311,1,0,0,1,tuesday,mobileweb,others,others,Transient,transient
312,1,0,0,1,tuesday,gds,en-us,usd,Transient,transient
313,1,0,0,1,tuesday,gds,en-us,eur,Transient,transient
314,1,0,0,1,tuesday,gds,en-us,gbp,Transient,transient
315,1,0,0,1,tuesday,gds,en-us,others,Transient,transient
316,1,0,0,1,tuesday,gds,fr-fr,usd,Transient,transient
317,1,0,0,1,tuesday,gds,fr-fr,eur,Transient,transient
318,1,0,0,1,tuesday,gds,fr-fr,gbp,Transient,transient
319,1,0,0,1,tuesday,gds,fr-fr,others,Transient,transient
320,1,0,0,1,tuesday,gds,de-de,usd,Transient,transient
321,1,0,0,1,tuesday,gds,de-de,eur,Transient,transient
322,1,0,0,1,tuesday,gds,de-de,gbp,Transient,transient
323,1,0,0,1,tuesday,gds,de-de,others,Transient,transient
324,1,0,0,1,tuesday,gds,it-it,usd,Transient,transient
325,1,0,0,1,tuesday,gds,it-it,eur,Transient,transient
326,1,0,0,1,tuesday,gds,it-it,gbp,Transient,transient
327,1,0,0,1,tuesday,gds,it-it,others,Transient,transient
328,1,0,0,1,tuesday,gds,es-es,usd,Transient,transient
329,1,0,0,1,tuesday,gds,es-es,eur,Transient,transient
330,1,0,0,1,tuesday,gds,es-es,gbp,Transient,transient
331,1,0,0,1,tuesday,gds,es-es,others,Transient,transient
332,1,0,0,1,tuesday,gds,others,usd,Transient,transient
333,1,0,0,1,tuesday,gds,others,eur,Transient,transient
334,1,0,0,1,tuesday,gds,others,gbp,Transient,transient
335,1,0,0,1,tuesday,gds,others,others,Transient,transient
336,1,0,0,1,tuesday,others,en-us,usd,Transient,transient
337,1,0,0,1,tuesday,others,en-us,eur,Transient,transient
338,1,0,0,1,tuesday,others,en-us,gbp,Transient,transient
339,1,0,0,1,tuesday,others,en-us,others,Transient,transient
340,1,0,0,1,tuesday,others,fr-fr,usd,Transient,transient
341,1,0,0,1,tuesday,others,fr-fr,eur,Transient,transient
342,1,0,0,1,tuesday,others,fr-fr,gbp,Transient,transient
343,1,0,0,1,tuesday,others,fr-fr,others,Transient,transient
344,1,0,0,1,tuesday,others,de-de,usd,Transient,transient
345,1,0,0,1,tuesday,others,de-de,eur,Transient,transient
346,1,0,0,1,tuesday,others,de-de,gbp,Transient,transient
347,1,0,0,1,tuesday,others,de-de,others,Transient,transient
348,1,0,0,1,tuesday,others,it-it,usd,Transient,transient
349,1,0,0,1,tuesday,others,it-it,eur,Transient,transient
350,1,0,0,1,tuesday,others,it-it,gbp,Transient,transient
351,1,0,0,1,tuesday,others,it-it,others,Transient,transient
352,1,0,0,1,tuesday,others,es-es,usd,Transient,transient
353,1,0,0,1,tuesday,others,es-es,eur,Transient,transient
354,1,0,0,1,tuesday,others,es-es,gbp,Transient,transient
355,1,0,0,1,tuesday,others,es-es,others,Transient,transient
356,1,0,0,1,tuesday,others,others,usd,Transient,transient
357,1,0,0,1,tuesday,others,others,eur,Transient,transient
358,1,0,0,1,tuesday,others,others,gbp,Transient,transient
359,1,0,0,1,tuesday,others,others,others,Transient,transient
360,1,0,0,1,wednesday,web,en-us,usd,Transient,transient
361,1,0,0,1,wednesday,web,en-us,eur,Transient,transient
362,1,0,0,1,wednesday,web,en-us,gbp,Transient,transient
363,1,0,0,1,wednesday,web,en-us,others,Transient,transient
364,1,0,0,1,wednesday,web,fr-fr,usd,Transient,transient
365,1,0,0,1,wednesday,web,fr-fr,eur,Transient,transient
366,1,0,0,1,wednesday,web,fr-fr,gbp,Transient,transient
367,1,0,0,1,wednesday,web,fr-fr,others,Transient,transient
368,1,0,0,1,wednesday,web,de-de,usd,Transient,transient
369,1,0,0,1,wednesday,web,de-de,eur,Transient,transient
370,1,0,0,1,wednesday,web,de-de,gbp,Transient,transient
371,1,0,0,1,wednesday,web,de-de,others,Transient,transient
372,1,0,0,1,wednesday,web,it-it,usd,Transient,transient
373,1,0,0,1,wednesday,web,it-it,eur,Transient,transient
374,1,0,0,1,wednesday,web,it-it,gbp,Transient,transient
375,1,0,0,1,wednesday,web,it-it,others,Transient,transient
376,1,0,0,1,wednesday,web,es-es,usd,Transient,transient
377,1,0,0,1,wednesday,web,es-es,eur,Transient,transient
378,1,0,0,1,wednesday,web,es-es,gbp,Transient,transient
379,1,0,0,1,wednesday,web,es-es,others,Transient,transient
380,1,0,0,1,wednesday,web,others,usd,Transient,transient
381,1,0,0,1,wednesday,web,others,eur,Transient,transient
382,1,0,0,1,wednesday,web,others,gbp,Transient,transient
383,1,0,0,1,wednesday,web,others,others,Transient,transient
384,1,0,0,1,wednesday,sbe,en-us,usd,Transient,transient
385,1,0,0,1,wednesday,sbe,en-us,eur,Transient,transient
386,1,0,0,1,wednesday,sbe,en-us,gbp,Transient,transient
387,1,0,0,1,wednesday,sbe,en-us,others,Transient,transient
388,1,0,0,1,wednesday,sbe,fr-fr,usd,Transient,transient
389,1,0,0,1,wednesday,sbe,fr-fr,eur,Transient,transient
390,1,0,0,1,wednesday,sbe,fr-fr,gbp,Transient,transient
391,1,0,0,1,wednesday,sbe,fr-fr,others,Transient,transient
392,1,0,0,1,wednesday,sbe,de-de,usd,Transient,transient
393,1,0,0,1,wednesday,sbe,de-de,eur,Transient,transient
394,1,0,0,1,wednesday,sbe,de-de,gbp,Transient,transient
395,1,0,0,1,wednesday,sbe,de-de,others,Transient,transient
396,1,0,0,1,wednesday,sbe,it-it,usd,Transient,transient
397,1,0,0,1,wednesday,sbe,it-it,eur,Transient,transient
398,1,0,0,1,wednesday,sbe,it-it,gbp,Transient,transient
399,1,0,0,1,wednesday,sbe,it-it,others,Transient,transient
400,1,0,0,1,wednesday,sbe,es-es,usd,Transient,transient
401,1,0,0,1,wednesday,sbe,es-es,eur,Transient,transient
402,1,0,0,1,wednesday,sbe,es-es,gbp,Transient,transient
403,1,0,0,1,wednesday,sbe,es-es,others,Transient,transient
404,1,0,0,1,wednesday,sbe,others,usd,Transient,transient
405,1,0,0,1,wednesday,sbe,others,eur,Transient,transient
406,1,0,0,1,wednesday,sbe,others,gbp,Transient,transient
407,1,0,0,1,wednesday,sbe,others,others,Transient,transient
408,1,0,0,1,wednesday,mobileweb,en-us,usd,Transient,transient
409,1,0,0,1,wednesday,mobileweb,en-us,eur,Transient,transient
410,1,0,0,1,wednesday,mobileweb,en-us,gbp,Transient,transient
411,1,0,0,1,wednesday,mobileweb,en-us,others,Transient,transient
412,1,0,0,1,wednesday,mobileweb,fr-fr,usd,Transient,transient
413,1,0,0,1,wednesday,mobileweb,fr-fr,eur,Transient,transient
414,1,0,0,1,wednesday,mobileweb,fr-fr,gbp,Transient,transient
415,1,0,0,1,wednesday,mobileweb,fr-fr,others,Transient,transient
416,1,0,0,1,wednesday,mobileweb,de-de,usd,Transient,transient
417,1,0,0,1,wednesday,mobileweb,de-de,eur,Transient,transient
418,1,0,0,1,wednesday,mobileweb,de-de,gbp,Transient,transient
419,1,0,0,1,wednesday,mobileweb,de-de,others,Transient,transient
420,1,0,0,1,wednesday,mobileweb,it-it,usd,Transient,transient
421,1,0,0,1,wednesday,mobileweb,it-it,eur,Transient,transient
422,1,0,0,1,wednesday,mobileweb,it-it,gbp,Transient,transient
423,1,0,0,1,wednesday,mobileweb,it-it,others,Transient,transient
424,1,0,0,1,wednesday,mobileweb,es-es,usd,Transient,transient
425,1,0,0,1,wednesday,mobileweb,es-es,eur,Transient,transient
426,1,0,0,1,wednesday,mobileweb,es-es,gbp,Transient,transient
427,1,0,0,1,wednesday,mobileweb,es-es,others,Transient,transient
428,1,0,0,1,wednesday,mobileweb,others,usd,Transient,transient
429,1,0,0,1,wednesday,mobileweb,others,eur,Transient,transient
430,1,0,0,1,wednesday,mobileweb,others,gbp,Transient,transient
431,1,0,0,1,wednesday,mobileweb,others,others,Transient,transient
432,1,0,0,1,wednesday,gds,en-us,usd,Transient,transient
433,1,0,0,1,wednesday,gds,en-us,eur,Transient,transient
434,1,0,0,1,wednesday,gds,en-us,gbp,Transient,transient
435,1,0,0,1,wednesday,gds,en-us,others,Transient,transient
436,1,0,0,1,wednesday,gds,fr-fr,usd,Transient,transient
437,1,0,0,1,wednesday,gds,fr-fr,eur,Transient,transient
