ArrivalDate-Weekday;Arrival-Month;LeadDays;nights-qty;room-qty;adult-qty;child-qty;infant-qty;rm-class-id
WEDNESDAY;5;12;2;1;1;0;0;3
SATURDAY ;11;47;2;1;1;0;0;3
THURSDAY ;8;20;2;1;2;0;0;3
FRIDAY   ;8;17;4;1;2;0;0;3
WEDNESDAY;10;20;1;1;2;0;0;3
TUESDAY  ;3;1;2;1;2;0;0;3
FRIDAY   ;8;97;8;1;3;0;0;3
MONDAY   ;3;3;1;1;1;0;0;3
SATURDAY ;9;11;2;1;2;0;0;3
THURSDAY ;8;20;2;1;1;0;0;3
THURSDAY ;8;8;3;1;2;0;0;3
MONDAY   ;3;14;1;1;1;0;0;3
WEDNESDAY;5;69;3;1;2;0;0;3
THURSDAY ;6;1;1;1;1;0;0;3
SUNDAY   ;8;11;4;1;2;1;0;3
FRIDAY   ;5;44;9;1;1;0;0;0
MONDAY   ;10;36;4;1;2;0;0;3
WEDNESDAY;5;7;1;1;2;0;0;3
FRIDAY   ;5;56;1;1;2;0;0;3
TUESDAY  ;3;1;1;1;1;0;0;3
TUESDAY  ;9;60;3;1;1;0;0;3
WEDNESDAY;1;111;4;1;2;0;0;3
FRIDAY   ;1;114;2;1;2;0;0;3
MONDAY   ;1;73;4;1;1;0;0;3
SUNDAY   ;2;83;1;1;1;0;0;3
FRIDAY   ;1;43;3;1;2;0;0;3
SATURDAY ;1;27;5;1;2;0;0;3
SUNDAY   ;1;25;1;1;2;0;0;3
MONDAY   ;1;35;2;1;2;0;0;3
THURSDAY ;1;28;2;1;1;0;0;3
THURSDAY ;1;28;2;1;1;0;0;3
MONDAY   ;1;10;5;1;2;0;0;3
SATURDAY ;1;14;3;1;2;0;0;3
THURSDAY ;2;42;1;1;2;0;0;3
WEDNESDAY;1;31;1;1;2;0;0;3
TUESDAY  ;1;1;4;1;1;0;0;3
MONDAY   ;1;12;1;1;2;0;0;3
SUNDAY   ;1;17;6;1;2;0;0;3
FRIDAY   ;1;6;3;1;2;0;0;3
SATURDAY ;1;5;2;1;1;0;0;3
SUNDAY   ;2;31;2;1;1;0;0;3
TUESDAY  ;1;1;1;1;2;0;0;3
SATURDAY ;1;1;3;1;2;0;0;3
THURSDAY ;2;18;1;1;2;1;0;3
TUESDAY  ;1;1;1;1;1;0;0;3
THURSDAY ;1;2;1;1;2;0;0;3
FRIDAY   ;2;10;2;1;2;0;0;3
WEDNESDAY;2;8;4;1;2;0;0;3
SATURDAY ;2;10;2;1;1;0;0;3
SUNDAY   ;4;272;6;1;2;0;0;3
MONDAY   ;4;260;3;1;2;0;0;3
SUNDAY   ;4;250;1;1;2;0;0;3
MONDAY   ;2;62;3;1;1;0;0;3
THURSDAY ;5;116;7;1;2;0;0;3
TUESDAY  ;2;21;1;1;2;0;0;3
SUNDAY   ;2;12;3;1;2;0;0;3
THURSDAY ;3;44;5;1;2;0;0;3
WEDNESDAY;5;9;2;1;1;0;0;3
MONDAY   ;4;12;2;1;1;0;0;3
SUNDAY   ;6;38;6;1;2;0;0;3
TUESDAY  ;11;33;7;1;2;0;0;3
SATURDAY ;5;69;3;1;2;0;0;3
FRIDAY   ;7;8;5;1;3;0;0;3
FRIDAY   ;8;7;4;1;2;0;0;3
SUNDAY   ;4;51;3;1;1;0;0;3
FRIDAY   ;5;43;3;1;2;0;0;3
TUESDAY  ;3;31;6;1;2;0;0;3
SUNDAY   ;8;12;4;1;2;0;0;3
FRIDAY   ;12;53;3;1;2;0;0;3
SUNDAY   ;9;24;5;1;1;0;0;3
THURSDAY ;6;29;2;1;1;0;0;3
FRIDAY   ;6;11;5;1;2;0;0;3
FRIDAY   ;4;3;2;1;2;0;0;3
SUNDAY   ;3;20;5;1;2;0;0;3
THURSDAY ;3;7;6;1;2;0;0;3
FRIDAY   ;6;7;5;1;2;0;0;3
THURSDAY ;5;11;4;1;2;0;0;3
THURSDAY ;11;31;7;1;1;0;0;3
MONDAY   ;5;8;5;1;1;0;0;3
SATURDAY ;6;9;2;1;2;0;0;3
THURSDAY ;3;37;5;1;2;0;0;3
MONDAY   ;7;8;6;1;2;0;0;3
FRIDAY   ;5;11;7;1;1;0;0;3
FRIDAY   ;8;39;2;1;2;0;0;3
MONDAY   ;11;22;3;1;1;0;0;3
TUESDAY  ;8;46;3;1;2;0;0;3
SATURDAY ;6;18;4;1;1;0;0;3
FRIDAY   ;6;52;2;1;2;0;0;3
MONDAY   ;2;15;4;1;2;0;0;3
SATURDAY ;8;30;4;1;2;0;0;3
FRIDAY   ;10;43;2;1;2;0;0;3
FRIDAY   ;10;31;6;1;3;0;0;3
SATURDAY ;9;5;4;1;2;0;0;3
MONDAY   ;10;83;5;1;2;0;0;3
THURSDAY ;6;0;3;1;1;0;0;3
SUNDAY   ;10;10;3;1;2;0;0;3
SATURDAY ;9;5;4;1;2;0;0;3
SATURDAY ;9;14;1;1;1;0;0;3
FRIDAY   ;7;1;6;1;2;0;0;3
SUNDAY   ;10;17;1;1;1;0;0;3
SATURDAY ;1;39;4;1;2;0;0;3
SATURDAY ;2;10;8;1;1;0;0;0
THURSDAY ;6;9;3;1;2;0;0;3
TUESDAY  ;8;85;10;1;2;0;0;3
WEDNESDAY;7;42;3;1;3;0;0;3
THURSDAY ;9;21;2;1;1;0;0;3
FRIDAY   ;11;31;3;1;3;0;0;3
SATURDAY ;3;54;1;1;2;0;0;3
WEDNESDAY;5;112;5;1;1;0;0;0
SUNDAY   ;6;1;2;1;1;1;0;3
THURSDAY ;9;17;1;1;2;0;0;3
FRIDAY   ;3;9;1;1;2;0;0;3
WEDNESDAY;6;38;3;1;3;0;0;3
SATURDAY ;3;0;1;1;2;0;0;3
WEDNESDAY;1;90;3;1;1;0;0;3
SUNDAY   ;1;11;3;1;2;0;0;3
SATURDAY ;3;5;4;1;1;0;0;3
TUESDAY  ;1;5;1;1;2;0;0;3
TUESDAY  ;8;15;4;1;2;0;0;3
MONDAY   ;7;88;1;1;1;0;0;3
THURSDAY ;5;6;3;1;2;0;0;3
SATURDAY ;4;60;5;1;2;0;0;3
FRIDAY   ;3;17;4;1;1;0;0;3
WEDNESDAY;8;2;3;1;1;0;0;3
TUESDAY  ;10;6;1;1;1;0;0;3
MONDAY   ;4;6;1;1;1;0;0;3
SATURDAY ;9;3;3;1;1;0;0;3
SUNDAY   ;3;0;1;1;2;0;0;0
FRIDAY   ;6;17;2;1;2;0;0;3
WEDNESDAY;10;20;4;1;1;0;0;3
SATURDAY ;4;12;2;1;2;0;0;3
SATURDAY ;6;23;2;1;1;0;0;3
FRIDAY   ;9;23;1;1;1;0;0;3
TUESDAY  ;7;25;6;1;1;0;0;3
SUNDAY   ;7;12;2;1;2;0;0;3
SATURDAY ;6;1;1;1;2;0;0;3
FRIDAY   ;5;3;2;1;1;0;0;3
MONDAY   ;2;1;2;1;2;0;0;3
FRIDAY   ;6;57;6;1;1;0;0;3
FRIDAY   ;5;9;1;1;1;0;0;3
TUESDAY  ;1;11;1;1;1;0;0;0
TUESDAY  ;4;14;5;1;1;0;0;3
FRIDAY   ;7;71;5;1;2;0;0;3
MONDAY   ;11;36;8;1;1;0;0;3
FRIDAY   ;2;18;7;1;1;0;0;3
TUESDAY  ;6;50;1;1;2;0;0;3
SUNDAY   ;2;136;6;1;2;0;0;0
SUNDAY   ;7;74;2;1;2;0;0;3
THURSDAY ;8;52;5;1;2;0;0;3
SATURDAY ;6;8;1;1;2;0;0;3
WEDNESDAY;5;2;1;1;1;0;0;3
MONDAY   ;3;25;1;1;1;0;0;0
SUNDAY   ;5;5;5;1;1;0;0;3
WEDNESDAY;6;16;1;1;1;0;0;3
WEDNESDAY;4;8;4;1;1;0;0;3
THURSDAY ;5;40;4;1;3;0;0;3
FRIDAY   ;2;27;5;1;1;0;0;3
FRIDAY   ;2;9;2;1;2;0;0;0
WEDNESDAY;5;24;1;1;1;0;0;3
THURSDAY ;4;28;1;1;1;0;0;3
MONDAY   ;1;0;1;1;2;0;0;3
WEDNESDAY;7;2;4;1;2;1;0;3
SATURDAY ;4;2;10;1;2;0;0;3
WEDNESDAY;11;71;3;1;2;0;0;3
MONDAY   ;9;6;2;1;1;0;0;3
WEDNESDAY;5;103;1;1;2;0;0;0
FRIDAY   ;3;0;1;1;1;0;0;3
FRIDAY   ;9;49;1;1;1;0;0;3
SUNDAY   ;10;1;1;1;2;0;0;3
TUESDAY  ;7;63;1;1;2;0;0;3
SATURDAY ;6;18;1;1;2;0;0;3
SUNDAY   ;8;32;20;1;2;0;0;3
WEDNESDAY;8;59;2;1;2;0;0;3
SUNDAY   ;6;66;4;1;3;0;0;3
WEDNESDAY;1;6;1;1;1;0;0;0
FRIDAY   ;1;9;1;1;1;0;0;3
MONDAY   ;3;32;4;1;3;0;0;3
WEDNESDAY;7;98;4;1;2;0;0;3
SATURDAY ;2;0;1;1;2;0;0;3
THURSDAY ;12;94;2;1;1;0;0;3
SUNDAY   ;8;0;6;1;2;0;0;3
FRIDAY   ;1;8;1;1;1;0;0;3
TUESDAY  ;9;0;2;1;1;0;0;3
MONDAY   ;8;55;2;1;2;0;0;3
TUESDAY  ;2;12;1;1;1;0;0;3
THURSDAY ;3;6;1;1;1;0;0;3
SATURDAY ;1;31;3;1;3;1;0;3
WEDNESDAY;9;16;10;1;1;0;0;3
THURSDAY ;9;1;1;1;2;0;0;3
MONDAY   ;6;31;3;1;2;0;0;3
WEDNESDAY;7;4;2;1;2;0;0;3
SUNDAY   ;6;10;3;1;1;0;0;3
WEDNESDAY;1;35;3;1;2;0;0;3
WEDNESDAY;2;8;1;1;2;0;0;3
MONDAY   ;9;10;8;1;1;0;0;3
WEDNESDAY;7;5;2;1;1;0;0;3
MONDAY   ;6;67;2;1;2;0;0;3
TUESDAY  ;8;20;6;1;2;1;0;3
WEDNESDAY;1;6;2;1;1;0;0;0
MONDAY   ;4;0;1;1;1;0;0;3
THURSDAY ;4;13;2;1;1;0;0;3
SUNDAY   ;7;23;4;1;2;1;0;3
TUESDAY  ;9;7;3;1;1;0;0;3
TUESDAY  ;7;43;3;1;1;0;0;3
SATURDAY ;7;0;3;1;2;0;0;3
SATURDAY ;5;3;1;1;2;0;0;3
WEDNESDAY;4;15;2;1;1;0;0;3
SUNDAY   ;2;3;1;1;1;0;0;3
THURSDAY ;5;6;1;1;1;0;0;3
SATURDAY ;1;5;1;1;2;0;0;0
TUESDAY  ;2;40;2;1;2;0;0;3
SUNDAY   ;8;7;1;1;1;0;0;3
WEDNESDAY;6;2;1;1;1;0;0;3
MONDAY   ;4;3;1;1;2;0;0;3
THURSDAY ;10;12;2;1;1;0;0;3
MONDAY   ;7;19;1;1;1;0;0;3
THURSDAY ;6;3;2;1;2;1;0;3
TUESDAY  ;4;12;1;1;1;0;0;3
MONDAY   ;6;18;4;1;2;1;0;3
THURSDAY ;1;1;1;1;3;0;0;3
WEDNESDAY;1;8;4;1;2;0;0;3
FRIDAY   ;10;11;1;1;1;0;0;3
FRIDAY   ;12;0;2;1;1;0;0;3
SUNDAY   ;5;9;2;1;1;0;0;3
SATURDAY ;3;0;2;1;2;1;0;3
TUESDAY  ;8;17;4;1;2;0;0;3
SUNDAY   ;4;26;2;1;2;0;0;3
SUNDAY   ;5;37;7;1;2;0;0;3
SATURDAY ;5;31;2;1;2;0;0;3
THURSDAY ;7;35;4;1;2;0;0;3
MONDAY   ;6;67;2;1;2;0;0;3
TUESDAY  ;6;19;1;1;1;0;0;3
SUNDAY   ;8;75;5;1;2;0;0;3
WEDNESDAY;6;41;1;1;1;0;0;3
TUESDAY  ;8;20;1;1;2;0;0;3
SATURDAY ;4;0;1;1;2;0;0;3
THURSDAY ;5;43;1;1;2;0;0;3
TUESDAY  ;6;46;2;1;1;0;0;3
TUESDAY  ;1;12;2;1;1;0;0;3
SATURDAY ;3;0;2;1;2;0;0;3
TUESDAY  ;2;13;1;1;2;0;0;3
MONDAY   ;6;6;4;1;1;0;0;3
SATURDAY ;3;5;4;1;1;0;0;3
MONDAY   ;7;15;4;1;2;0;0;3
TUESDAY  ;10;7;3;1;1;0;0;3
SATURDAY ;4;8;2;1;2;0;0;3
THURSDAY ;6;12;1;1;2;0;0;3
FRIDAY   ;2;0;2;1;1;0;0;3
SATURDAY ;6;70;1;1;3;0;0;3
SUNDAY   ;9;5;1;1;1;0;0;3
SATURDAY ;9;65;4;1;1;0;0;3
SATURDAY ;7;4;4;1;1;0;0;3
TUESDAY  ;9;6;2;1;1;0;0;3
SUNDAY   ;7;5;1;1;1;1;0;3
SATURDAY ;3;5;4;1;1;0;0;3
WEDNESDAY;7;12;2;1;3;0;0;3
WEDNESDAY;5;21;2;1;1;0;0;3
TUESDAY  ;5;0;1;1;1;0;0;3
MONDAY   ;5;1;1;1;2;0;0;3
SUNDAY   ;4;0;4;1;1;0;0;3
THURSDAY ;6;8;5;1;2;0;0;3
MONDAY   ;2;3;1;1;1;0;0;3
SUNDAY   ;11;76;5;1;2;0;0;3
WEDNESDAY;1;5;3;1;2;0;0;3
WEDNESDAY;1;56;38;1;2;0;0;3
SUNDAY   ;7;58;3;1;2;1;0;3
FRIDAY   ;9;3;2;1;1;0;0;3
TUESDAY  ;2;40;4;1;2;0;0;3
THURSDAY ;1;31;3;1;2;0;0;3
FRIDAY   ;5;42;1;1;2;0;0;3
THURSDAY ;7;2;2;1;2;0;0;3
SUNDAY   ;2;10;28;1;1;0;0;3
SATURDAY ;6;1;2;1;2;0;0;3
TUESDAY  ;4;13;2;1;1;0;0;3
SATURDAY ;4;60;4;1;1;0;0;3
MONDAY   ;2;4;1;1;1;0;0;3
THURSDAY ;3;13;1;1;1;0;0;3
SUNDAY   ;8;13;5;1;2;1;0;3
TUESDAY  ;6;36;1;1;1;0;0;3
SUNDAY   ;4;10;4;1;1;0;0;3
MONDAY   ;3;2;4;1;1;0;0;0
TUESDAY  ;10;1;1;1;1;0;0;3
SATURDAY ;7;0;2;1;3;0;0;3
SUNDAY   ;6;12;3;1;1;0;0;3
THURSDAY ;1;91;1;1;1;0;0;0
THURSDAY ;12;76;4;1;2;0;0;3
SATURDAY ;4;1;1;1;2;0;0;3
SUNDAY   ;9;22;4;1;3;0;0;3
THURSDAY ;3;0;1;1;1;0;0;0
SATURDAY ;6;18;1;1;2;0;0;3
SUNDAY   ;10;45;3;1;1;0;0;3
SUNDAY   ;9;36;4;1;2;0;0;3
MONDAY   ;2;6;1;1;1;0;0;3
FRIDAY   ;9;9;5;1;1;0;0;3
SUNDAY   ;7;4;1;1;2;0;0;3
SUNDAY   ;5;46;1;1;1;0;0;3
THURSDAY ;3;17;6;1;2;0;0;3
SATURDAY ;7;49;4;1;2;0;0;3
THURSDAY ;7;1;3;1;3;0;0;3
FRIDAY   ;10;18;2;1;2;0;0;3
FRIDAY   ;8;119;4;1;3;0;0;3
FRIDAY   ;11;31;3;1;2;0;0;3
FRIDAY   ;7;318;3;1;2;0;0;3
SATURDAY ;6;16;2;1;2;0;0;3
WEDNESDAY;1;6;2;1;1;0;0;0
MONDAY   ;6;5;4;1;1;0;0;3
MONDAY   ;9;46;1;1;1;0;0;3
SATURDAY ;2;32;1;1;2;0;0;3
SATURDAY ;4;8;2;1;2;0;0;3
TUESDAY  ;9;7;1;1;1;0;0;3
THURSDAY ;5;6;1;1;1;0;0;3
TUESDAY  ;3;3;1;1;1;0;0;3
TUESDAY  ;7;46;5;1;2;0;0;3
WEDNESDAY;1;5;3;1;2;0;0;3
TUESDAY  ;8;5;1;1;2;0;0;3
MONDAY   ;6;5;2;1;1;0;0;3
TUESDAY  ;2;40;4;1;1;0;0;0
WEDNESDAY;9;7;3;1;1;0;0;3
SUNDAY   ;7;176;4;1;2;0;0;0
MONDAY   ;3;0;2;1;2;0;0;3
SUNDAY   ;10;18;7;1;1;0;0;3
SUNDAY   ;8;45;6;1;2;0;0;3
TUESDAY  ;9;25;3;1;1;0;0;3
MONDAY   ;5;7;5;1;1;0;0;3
FRIDAY   ;7;0;1;1;2;0;0;3
WEDNESDAY;4;15;3;1;1;0;0;3
TUESDAY  ;2;3;2;1;1;0;0;3
FRIDAY   ;12;0;2;1;1;0;0;3
MONDAY   ;4;5;1;1;1;0;0;3
WEDNESDAY;1;12;1;1;1;0;0;0
TUESDAY  ;3;1;1;1;1;0;0;3
SUNDAY   ;2;3;4;1;1;0;0;0
TUESDAY  ;2;6;1;1;2;0;0;3
THURSDAY ;3;16;5;1;2;0;0;3
TUESDAY  ;1;1;1;1;2;0;0;3
THURSDAY ;9;49;3;1;1;0;0;3
WEDNESDAY;10;63;1;1;1;0;0;3
TUESDAY  ;3;3;1;1;1;0;0;3
TUESDAY  ;3;12;2;1;1;0;0;3
SUNDAY   ;7;3;1;1;1;0;0;3
SATURDAY ;5;38;15;1;1;0;0;3
WEDNESDAY;4;14;3;1;1;0;0;3
MONDAY   ;1;0;1;1;1;0;0;3
FRIDAY   ;11;232;9;1;1;0;0;0
WEDNESDAY;1;5;3;1;2;0;0;3
WEDNESDAY;6;26;1;1;1;0;0;3
THURSDAY ;3;24;1;1;1;0;0;0
FRIDAY   ;6;3;16;1;1;0;0;3
TUESDAY  ;5;26;3;1;1;0;0;3
MONDAY   ;10;5;3;1;1;0;0;3
SATURDAY ;8;10;4;1;1;0;0;3
TUESDAY  ;1;18;1;1;1;0;0;3
SUNDAY   ;9;10;1;1;2;0;0;3
FRIDAY   ;7;11;2;1;2;0;0;3
THURSDAY ;3;0;2;1;2;0;0;0
THURSDAY ;2;43;4;1;2;1;0;3
THURSDAY ;5;44;2;1;2;0;0;3
WEDNESDAY;5;5;1;1;1;0;0;3
THURSDAY ;10;10;1;1;2;0;0;3
MONDAY   ;7;19;2;1;1;0;0;3
THURSDAY ;2;8;3;1;2;0;0;3
SUNDAY   ;10;244;4;1;1;0;0;0
WEDNESDAY;3;33;3;1;2;0;0;3
THURSDAY ;10;8;2;1;2;0;0;3
MONDAY   ;1;33;2;1;1;0;0;3
SATURDAY ;3;29;5;1;1;1;0;3
THURSDAY ;8;6;3;1;2;0;0;3
THURSDAY ;9;8;6;1;2;0;0;3
TUESDAY  ;6;21;1;1;1;0;0;3
WEDNESDAY;5;5;1;1;1;0;0;3
TUESDAY  ;2;21;1;1;1;0;0;3
WEDNESDAY;3;1;1;1;1;0;0;3
TUESDAY  ;6;39;1;1;2;0;0;3
MONDAY   ;9;271;2;1;1;0;0;0
SUNDAY   ;5;32;2;1;1;0;0;3
TUESDAY  ;3;1;6;1;1;1;0;3
TUESDAY  ;12;75;3;1;2;1;0;3
TUESDAY  ;6;25;2;1;3;0;0;3
TUESDAY  ;5;8;1;1;1;0;0;3
MONDAY   ;3;6;1;1;1;0;0;0
FRIDAY   ;3;2;1;1;2;0;0;3
THURSDAY ;10;8;2;1;1;0;0;3
WEDNESDAY;6;1;1;1;1;0;0;3
TUESDAY  ;3;2;1;1;2;0;0;3
TUESDAY  ;5;72;3;1;2;0;0;3
THURSDAY ;4;13;3;1;2;0;0;3
SUNDAY   ;1;31;1;1;1;0;0;3
WEDNESDAY;1;6;3;1;1;0;0;0
MONDAY   ;2;0;1;1;1;0;0;3
SATURDAY ;6;1;1;1;1;0;0;3
THURSDAY ;5;8;1;1;1;0;0;3
SUNDAY   ;10;17;6;1;1;0;0;3
TUESDAY  ;10;7;1;1;1;0;0;3
MONDAY   ;8;1;4;1;1;0;0;3
SATURDAY ;2;0;5;1;2;0;0;3
FRIDAY   ;8;2;2;1;2;0;0;3
WEDNESDAY;1;51;3;1;2;0;0;3
THURSDAY ;8;21;5;1;1;0;0;3
SATURDAY ;7;24;5;1;2;0;0;3
FRIDAY   ;6;2;2;1;2;0;0;3
SUNDAY   ;7;55;2;1;2;0;0;3
TUESDAY  ;6;0;1;1;1;0;0;3
MONDAY   ;8;57;3;1;2;0;0;3
MONDAY   ;3;7;1;1;1;0;0;0
WEDNESDAY;7;1;1;1;2;0;0;3
SATURDAY ;6;10;3;1;2;0;0;3
SUNDAY   ;10;29;11;1;2;0;0;3
WEDNESDAY;3;1;1;1;1;0;0;3
FRIDAY   ;2;0;1;1;2;0;0;3
SATURDAY ;12;50;1;1;2;0;0;3
MONDAY   ;9;7;2;1;1;0;0;3
TUESDAY  ;8;11;3;1;3;0;0;3
FRIDAY   ;11;45;1;1;2;0;0;3
WEDNESDAY;6;56;13;1;2;0;0;3
FRIDAY   ;4;17;2;1;1;0;0;3
THURSDAY ;1;7;2;1;2;0;0;3
TUESDAY  ;1;5;1;1;1;0;0;3
THURSDAY ;10;8;2;1;1;0;0;3
SUNDAY   ;8;8;6;1;1;2;0;3
FRIDAY   ;7;73;2;1;2;0;0;3
MONDAY   ;3;2;3;1;1;0;0;3
THURSDAY ;10;7;2;1;2;0;0;3
THURSDAY ;8;62;4;1;2;0;0;3
THURSDAY ;7;2;1;1;1;0;0;3
SUNDAY   ;1;0;1;1;2;0;0;3
TUESDAY  ;5;7;1;1;1;0;0;3
TUESDAY  ;4;50;1;1;1;0;0;3
WEDNESDAY;6;8;1;1;1;0;0;3
MONDAY   ;5;7;1;1;1;0;0;3
FRIDAY   ;7;17;1;1;1;0;0;3
FRIDAY   ;3;17;3;1;2;0;0;3
FRIDAY   ;8;0;2;1;1;0;0;3
MONDAY   ;1;0;1;1;1;0;0;3
FRIDAY   ;5;31;5;1;1;0;0;3
SATURDAY ;9;65;4;1;1;0;0;3
MONDAY   ;10;4;1;1;2;0;0;3
MONDAY   ;8;21;7;1;2;1;0;3
FRIDAY   ;10;41;6;1;2;0;0;3
WEDNESDAY;7;1;8;1;1;0;0;3
SATURDAY ;8;2;2;1;1;0;0;3
SATURDAY ;6;18;1;1;2;0;0;3
FRIDAY   ;10;1;2;1;2;0;0;3
MONDAY   ;5;51;2;1;2;0;0;3
THURSDAY ;6;87;2;1;2;0;0;3
WEDNESDAY;5;49;3;1;2;0;0;3
FRIDAY   ;10;15;1;1;1;0;0;3
TUESDAY  ;9;19;6;1;2;0;0;3
SATURDAY ;9;65;14;1;2;0;0;3
SATURDAY ;1;1;1;1;1;0;0;0
MONDAY   ;8;54;3;1;1;0;0;3
SATURDAY ;3;26;5;1;1;0;0;0
MONDAY   ;4;13;1;1;2;0;0;3
FRIDAY   ;1;8;1;1;1;0;0;3
FRIDAY   ;3;22;2;1;1;2;0;3
SATURDAY ;10;2;4;1;1;0;0;3
WEDNESDAY;1;1;1;1;2;0;0;3
WEDNESDAY;6;28;1;1;1;0;0;3
MONDAY   ;2;65;2;1;1;0;0;0
THURSDAY ;3;150;5;1;2;0;0;3
THURSDAY ;5;29;3;1;1;0;0;3
TUESDAY  ;2;5;1;1;2;0;0;3
THURSDAY ;9;16;1;1;2;0;0;3
TUESDAY  ;3;52;1;1;1;0;0;0
SATURDAY ;9;3;4;1;2;0;0;3
THURSDAY ;5;6;3;1;2;1;0;3
THURSDAY ;10;8;2;1;2;0;0;3
MONDAY   ;3;6;2;1;1;0;0;3
FRIDAY   ;9;81;3;1;2;0;0;3
FRIDAY   ;2;24;2;1;2;0;0;0
SUNDAY   ;3;6;5;1;1;0;0;3
MONDAY   ;8;53;1;1;2;0;0;3
THURSDAY ;2;24;3;1;2;0;0;3
TUESDAY  ;7;12;15;1;2;0;0;3
SUNDAY   ;10;320;4;1;2;0;0;3
WEDNESDAY;1;6;1;1;1;0;0;3
SUNDAY   ;6;10;6;1;1;0;0;3
FRIDAY   ;10;4;1;1;2;0;0;3
WEDNESDAY;3;15;2;1;1;0;0;3
SUNDAY   ;6;16;1;1;1;0;0;3
FRIDAY   ;8;8;1;1;1;0;0;3
THURSDAY ;10;6;1;1;1;0;0;3
MONDAY   ;3;6;1;1;1;0;0;0
SATURDAY ;1;2;1;1;2;0;0;3
SUNDAY   ;2;33;2;1;2;0;0;3
SATURDAY ;9;1;4;1;1;0;0;3
MONDAY   ;2;60;1;1;2;0;0;3
WEDNESDAY;3;13;1;1;1;0;0;3
SUNDAY   ;2;3;3;1;1;0;0;3
THURSDAY ;7;73;2;1;3;0;0;3
TUESDAY  ;5;272;3;1;2;0;0;3
SATURDAY ;5;2;3;1;2;0;0;3
WEDNESDAY;10;14;2;1;1;0;0;3
